pos,pos_1,pos_2,pos_3,pos_4,pos_5,pos_6,pos_7,pos_8,neg,neg_1,neg_2,neg_3,neg_4,neg_5,neg_6,neg_7,neg_8,coding
,AD,BCAD,,,,,CBA,,,,,ADBBDBD,BCADCBBAC,DDBCDBBDCD,DAB,,BAADBAC,DDBAAC
,BDAAD,,ABABDC,,,ADBDCA,,,,,,CBDA,,,,,DCAD,B
,,B,,,,,,,,CBACB,,,,,C,,,BBDD
,,CDDC,,CDBC,BDADDABD,C,,DDCBCACA,,,BACACABD,BDABB,ADBC,DADDA,BBCBCDA,BDCB,,A
,,CAABADBB,,CDC,DCDB,,,AA,,,,AA,DBB,DCDBAAC,CCCCA,DCCD,BDCCD,DB
,,,CB,CCACC,C,CABDAC,,CD,,DDDBCAA,,AADDABA,,,,,,DAACBCD
ADBACA,,,,,,BBC,,AD,DDBCB,AB,,BBAADBB,BCC,ACAC,,,,BAD
BAAABBBDCB,,,ACAAC,DBB,CAB,,AAB,,,CAB,,BDBBBBBDD,BDD,,,,,A
BA,,,,,CCD,DB,,,,BA,BAC,,,,,,BDD,ACDDBBDA
A,BBACD,DDDDCA,,,,,DADCCA,BDCB,,,CDCCD,,BDC,,BBCAB,,,ABC
,,DA,DCCCC,,,,,BDDA,,,,ACDDDC,,,AB,,D,AABC
DAABDAACA,,,,,ADCCBDA,,B,,,,,,,,BACD,,,C
,DADB,BBCACCCCD,,B,,CABADA,,,,,BBCCAA,,DAC,,,,BC,BC
,BDD,BDA,,BCAACDC,BDA,,,DC,DBBCB,,,,D,,BA,,,BAABABBBC
,A,DABDA,,DCABD,,,D,CDC,DC,,,,,ACDDAA,,DBBDA,,DACA
,,,,,,BCABDB,B,,,C,,,BB,BDABAABD,,DC,,B
A,,,,,,CCA,,,,,,,,,,,,AADAD
,,AC,,,,BADBBCA,,B,,,,,CDB,AA,CCBA,DCAAC,AA,DBAA
BA,,,,DB,ACB,D,,,DAACCDDC,,,,,CABA,,,DDDCD,CBDBBDBDDC
A,,,,,CBAB,,,,,B,,DA,,ACC,ACCABB,,,D
,,C,,,,BCDCA,ABDA,,BD,DBD,CDADC,DBDACBA,,,ACCDB,,,CACCB
CADDC,,BA,A,,ACCCBCAB,DABAACDAAD,ADCBC,CA,,,,DDCCA,B,A,,,,ACBB
,DDC,,CD,,CCABC,B,,BBCAB,,BC,,,,,BBB,DDB,AAD,DACCC
,,,DACD,,,,DDBAA,,CC,AA,,,,DB,,CACDBB,C,ACB
,,,,,,DDCDAA,D,DDACDB,,BAADC,BDA,DA,DC,,,,,DDCCCCC
,,,D,,BBCDD,BDCBAB,B,BBCC,DCDCDBAB,,,,,,,,,DABADA
,,,,,,,BCABD,CCCC,,,,BDCCD,AB,,,BAB,,DC
,,BACCD,,ADACA,BABD,,,,,,,,,DACA,,,,ABDBCACC
,,,,,,,DCCBDBCDD,,BBDC,ABDBAACC,,,,,AADCAB,BAD,,CACB
,,,,,C,,,BCADDDBD,ACBDBC,,,,,CBA,DDBCA,CA,,C
ADD,,,,,,,CABAABC,,DD,,,,C,DAC,,CCDA,,CAD
BACA,,,DDCCC,,,,,,BDBACDB,,,,,CDCBB,,D,,CBCCD
CBADB,,,BCBCCAA,BDABDDD,DB,,DDAACA,,BABDB,CADBDADCC,,BCDCDDD,,,BBACB,,C,BCBDABBD
,,,,B,DCD,,,DB,BADACA,,,,DDCDB,,CDDBBD,BCABCBB,,CC
,ACAC,,C,CBABDACB,ADCCB,,,,,,,,DDDD,,CDD,ABCD,DBDB,BDDDAC
,,,,,,,ADBC,,,AAA,,,CBA,,BBCDAAD,,ABB,DBC
CBBDAD,,,,BDADA,,,,,CCDACD,,,,,,,CDBCAAC,BB,D
