pos,pos_1,pos_2,pos_3,pos_4,pos_5,pos_6,pos_7,pos_8,neg,neg_1,neg_2,neg_3,neg_4,neg_5,neg_6,neg_7,neg_8,coding
,CDAC,D,,BCDCDB,,,,,C,AABDCBC,DDAA,,,,,AAADA,BCAAD,CDCCC
DBC,BDA,,,,,,,C,,,DCDAC,,CADA,,ADDB,,,DCCA
DBB,AC,DCC,,DACBD,CCBBD,,C,ADABCDC,CBBABBC,,,,,,CB,AABC,C,BDCCC
,,,,,,,DBCCCDB,,CBCD,A,,CB,A,,BBCCB,,AACABBC,DAACCCA
,ADBCDDCC,ACBDAC,,BAAADDAC,CABD,BCAC,ACD,,,,,CA,DDCADC,,,,,AAD
,,,ADBCD,BDDDCC,,,,A,,,,DCABBB,,,,,A,BACB
,,,,,,DCB,,,,,ADDDA,,,,,,,BADACCA
B,,,BBC,DDDB,,,CDBBAABCADBB,B,ADBCBD,DCB,,BD,CDAB,,,,,DCBCD
CABDA,DDA,,,,,,,AA,CBC,CDDA,,,,BAD,AC,,DA,CACCB
,CCCDCBBD,CD,,CDBB,,,ADCA,,,BDBA,,,CCACBA,DABBCCDCBB,,DDCBD,ADCBCB,CD
,,CCD,,,,DBAC,,,,,,,,BBCAB,,DCCD,,CBBACBD
,BCCDDBB,,AB,,,ADAD,ADBBCCCD,,CADBD,BCBA,BCBA,DBCD,DDCDC,,ACB,,,DDDCB
BD,,,,,,BBC,,,,DD,,DA,,,D,,,BBABCCBBA
AD,,C,,,,,C,,,,DBDBAAD,,,CCACBC,CAD,C,AD,DAACBBCB
DAA,,,,,,D,AD,DDADAD,,,,,,,BBDCCCCCCB,CBABBDA,BBCDD,CB
,,,,CCDBCDC,,,,,BACD,,,,,,,,,AAAADDDBC
CCCABC,CB,,,,,,DCABCDB,,,,CD,,,,,,DCA,CDCAD
ACDCDA,,A,BDBCBAC,,,BA,,CCDB,,,,DBBC,CCBBDB,,ABD,AA,,ADC
,,,CBABD,,,,,CAAADBDAD,B,DCCD,,,DDACCBA,,,CCB,,BCAC
AAD,,,,,ABCCA,,BB,,DDCCC,C,,,CADCAB,,,ADDACCC,,ADBDBACCD
,AD,,,DCDB,CB,,CCDADAAC,,,,,BBADD,DCA,DBD,CDCC,,,BAABCA
,CABAAC,,,,BDA,,,,B,DAAAAB,BD,,,,,,,AABADCBA
,,BCDACA,C,BAA,,,,AADBDCD,,,ACD,,DCDAC,DCCA,,,DDCAABB,BBBBBA
CBA,B,DCAA,DAAADB,DBDD,,,,,BCA,,,,DBCCCAD,CCDBAACAA,,,,CADDDBC
,ADA,DBB,DC,ABCAB,,,A,,AAD,BCCAB,,,,BDD,,DBACAA,,DAADCDDB
AD,,DAB,CBBAC,,,ADCDB,,,,,,,,CCAD,,CBCD,B,AAADA
ACBCC,,DCAD,,DCCCADAB,CBDC,,BAACDB,DD,,,CAD,DDCCD,,,,,,CCCCCD
,,DBBC,DCCABB,ADDBA,DBDBA,,,,CDC,,,ADBCBAD,DCC,,,,CBCC,ABADAB
,,,,,,BCDBCDDBCDAC,,,,,DDDBA,CCAAAD,CAAC,,BCBD,,,CCCBDDA
