pos,pos_1,pos_2,pos_3,pos_4,pos_5,pos_6,pos_7,pos_8,neg,neg_1,neg_2,neg_3,neg_4,neg_5,neg_6,neg_7,neg_8,coding
,CDD,,,CCCDA,,BCAADBB,,,C,BA,,,,,,,BABAB,ADDCC
A,BABC,,CBCADB,,,DCCA,AB,,,AACDDDCCD,,BA,,BAA,ABCDB,AABADA,,CCBDC
,ADD,CB,,,,ABADCB,,,,,DBCBB,,,,B,DDBBD,,DBAB
DDAAB,,BBC,,B,,,BCCCDCD,DDDACD,,,,ABADDCA,,BD,BAC,,,DDACACB
,,,,,CBA,BDCDC,,,BDBDACB,,DDBCB,DCA,,CDD,,,AB,ADCCCDBD
,CBCCAAB,,BADACDD,,C,,,,,,,,BBAAA,,,,CDBBDA,CADDD
,,BBC,BDBDD,,,CDABBCBD,,,,,,ACBB,BCDCDD,,,,,DCACCB
AD,DCA,,,,,,BAAA,,,,DCAD,,CCCBB,,,,,BCCA
,CABBBAC,CDAD,,,,,AAAAAD,CDA,,,,BBAB,,,,B,,BAAA
C,BDCACBABD,,,,,ACCA,,,DCC,DACD,,,DADDADDCDA,,CBABAB,,,BDBA
DBA,ACBBDDBC,,,,,,,,,,BCCB,,,DBD,,,,BBBDC
,DD,,,,BDDBACDC,,,,BDD,,ABDC,DDDADB,,,,ADCAAAB,,ADDCC
AABCD,CCA,D,,D,,AD,,,,ABAAD,,CAADDC,,DDD,,,ACDBBA,DABAD
D,,,CDDCDDCC,A,,,,,,C,,,BCDBDC,D,BAADB,,DCB,BAAB
,,,DDAC,CAA,,,CDBA,AB,CDADC,,,,,,C,BCAAA,,DDACBD
,CC,,ACADDCD,,C,,ACACD,,,B,,ABBBCBD,,BC,,,,BABDCCDC
,DCA,,,,CBAABC,CABC,D,,,,D,,,,,,,A
,ABD,,,,CDAC,,CDACC,,,B,,DCBBCCCCDD,,,D,,,ACB
,,,DBADBA,DDCB,,,BCDB,,,,ADCA,,,,,,ADDA,A
,,,BBCBBB,,,,,,,CC,,,B,,,,,CAC
,BCAAB,,BB,,,DCBBA,,D,,,,AAD,BAB,CCCAB,ACD,,DABDD,CACBDBAA
,,CDDDCD,BCABAB,,,BCCAC,,,,,,,BCCD,CAD,,,,DCBCCDB
,,BACBDCCA,,,,,DDBBD,,,,,,,,CDD,,,AD
,,,DBDCBDDCCD,,,,,,,,,B,,C,,,,CCBCA
,CACBADA,DCBA,,C,,,BDBC,,BBAAB,AADBA,,,BCA,,DBBADB,,,CA
DCAAA,,,,,,,,,,,,,,,,,,CADDA
,A,,,,,,,,,BDBC,,,,,A,,ADBBA,DBA
ACBAADA,,CDCD,,,,,,,,,CACBABBBA,,,,,,,ADCADCDCD
,BCDCCC,B,,DCBBBAA,,,BCBBCB,,,,,,BDC,,,,,BDCCCB
,,DCC,,,BBBABA,,,,,AAA,,,ABCBCA,,D,,,DCC
,,ACC,,CCDDA,,,,,CADCA,,,,,,,DDBBA,,CCCDD
,,,ADCCCCC,,,BAABAD,,,D,,AABCD,,,,,,,CBDBD
,,BBAA,DABACC,,ABDADD,,DA,BDBCACDDDA,,,AC,,BBDAAC,,,,,ACDBC
,ACDBDAC,,C,,ADD,ADCDAC,,BAAC,CAAA,,,BAABA,,C,,BCCCABBDBA,,BBCDCAC
BDBBACBBA,BCBAACD,,CDDC,ADC,,,BADCA,,,A,,,,DCBC,,,,ABAA
,,BAAC,,DCCCB,ADCC,,,,,,,,,,,,,B
DCA,,,BA,,,ACDA,,,BDAD,B,,,BDBA,,,,,BAAA
,BCCCA,,,CBC,ACBB,,,,,,,,C,ADBBC,,,,CABAA
BAACABC,CBBDACD,,ABBBBBC,,,,DAC,CADBD,,,,,,,CC,,,BCDBD
,,,,,,,ACDDDC,,,,D,B,,,,B,DBCCABDBA,A
,DDBDD,,,,ACCDDDBC,,AADC,DAACADD,,,CADAB,,,,BC,,B,CCD
,DCA,,BDDD,,DCBBDD,DB,,,ADCABCDA,,,,,,,BBCCC,CCC,CCCABC
,ADCBDB,CCCABDD,ADD,,,,,,,,ABAC,,CACDD,,,,CCBA,DDCCCAC
,ACCCD,,,,ACAADC,,DB,AC,BBABC,,BBACBA,CBBCBC,,,CBABAAA,,,BDCABBDC
,,A,,,,CABACCCD,CBB,,,,DACC,CCDDDCA,,,,BCBAA,,BBC
CABBCCBB,,,BBDAAD,,,,,,ACBCBC,,BDCCBAA,CC,,,,,,CD
DB,DABDC,,,,,,,,,,,CCD,DD,BCAACCA,,,BAABAA,BBBC
,A,,,,,DACDCD,CDABB,,,ABC,C,,,,,,,DC
,,,,,,,,DC,,BAAAB,,CADBB,,BAA,,,,AAA
,,,,BC,,,,CBCDD,,,,,CBABA,,CAA,CBDDACC,C,B
ABDA,CCD,DA,DBCBABC,,,BCCDA,,,CBAA,CABCDDBDBA,ADCBAC,,,,DADD,ACBCABB,,CBBDDAC
DDAAADB,BACBCBBA,A,,,BDC,BB,,,,,,,C,,,,,BADAAB
,AD,DBBDA,,DBCAA,ADCA,DCDCBAABADA,,AB,D,ABBADC,,,,,ACD,BAD,,BBADAC
,,,,,,ADCAB,,B,,DBBCD,,,DCAA,,BBC,,,BCDBDAC
,DDBB,,,DACCC,,DACDDA,CDACAB,DBCACA,,C,,,,,,BACCA,BBDCAABC,A
DDAAB,,A,,,,CACDBABBD,,,,,ABCB,B,CD,CDACABDAC,CCDBD,,CAD,DABBAD
,,,C,,CABAA,,DAC,,,ADAD,,,AA,,ADDDAC,,,DA
,DBCBA,CDDD,,,,,CADACCDC,CAABDAB,AACADC,,A,,,BDAC,,,,BACBDDA
ACBAD,,CADC,,,,ABACB,ACB,,ABABA,,,,,,,,BDDBDBA,DAB
ABDDBD,,,,BDCAB,BCCBDACDACA,,,,BACABDC,CADAB,CBBD,,CAC,,,DADBAD,,BCDDBAD
,,,,,,A,BCC,DBCC,,,BDCDDCB,,,D,BCDAAC,DD,DCAA,BC
CCCDD,AA,,,,,,,AA,,,,C,,,,,BBBBBCDCCB,DBDAB
CDA,,ADDA,,BCBCAB,,,,,,BB,,,CC,,,BB,,A
ADCB,AD,ABBC,DAACCBD,,,,AD,,,,CA,ACCBC,,,,ACBBBB,,ABAB
,CBDDAADD,AACCDBC,DCDB,,AACDDD,BDC,,,DBDCCDD,,BDB,,ADD,,,ACDB,CBAABBCCCB,CAADD
,BCDDDB,,,,,,BCB,,DAAADD,,BA,ABACD,CCCBAA,B,,,,AACCBC
,,DBDB,,,,,ADBA,BACBBD,CCDD,,,,,BC,DDBCAC,AACD,,BACC
,BAADD,,AABBDC,,,,DCBAD,,,DAAAB,,ABCC,,,,BAA,,BCADBCBC
,AB,DBDB,,,,,CCC,ABCCD,C,BD,BCBC,BA,,,DCAD,BBC,,DADAACD
,ACBBBAC,,,CDC,,DAD,D,DDACADCD,,CCAB,AABDDABC,,,,,DB,ABABCAC,BADABA
,,,DDDCCA,B,DBCCDA,CACCBC,BC,BDBDB,,,,DCABAD,,,CDAA,C,,CBB
,,DCADC,,,AABAADAA,DACDAB,C,,,CBD,,,,,ABCDD,BBBC,,ABBC
,,,,CD,,ABDD,CA,,,,,,,,ACA,,,BABDA
,,AB,D,,,B,,DCCD,,BAAAC,DD,,,,,,,ACAAA
AAAAC,,CC,,,,DCADAAAB,,,,,ABDDB,BCDCBB,DABAC,,,,CDD,BDBD
D,,AAD,,DACCD,CDDAAB,BCBCCD,CD,A,DACDD,,DDCB,,ADA,,,,,AB
,,CDAD,CAAAB,,DAACC,BCD,,,,,CDCDD,CCA,,ABCADAB,CA,,,BABABBC
,,BBDC,,,D,,,,CDCA,B,,DBDACA,,BDADAD,,,,CCCDB
,,,,,,,A,,,D,,,CDCCBCAD,,,,,BBBC
,,DBCD,,DBBAA,CCA,BDCD,,,,DDA,,DDCD,,,,,DD,CAD
BA,CBD,ABD,,,DDDBC,CBCDA,,DA,ABBDCBCBDAB,,AD,,BACD,,,,,BDDB
CCDC,,,,,,ACCC,,,,,,,,,CCAC,DBCD,,BDCABA
,,,,,,DB,BCDCC,,,,,DCD,,C,CBB,,ADCC,CBAAACB
D,,CAADBBD,CC,C,,,CACBB,,,,D,,BCBBDBACC,,CD,CBBBBC,,CADBBA
BDDDDA,,,,,BBADB,,,,BBBBDBDDD,,,,ABDB,,A,DCCAA,,ADCCADBB
