pos,pos_1,pos_2,pos_3,pos_4,pos_5,pos_6,pos_7,pos_8,neg,neg_1,neg_2,neg_3,neg_4,neg_5,neg_6,neg_7,neg_8,coding
,C,,,,DBCDC,,,DCAD,,,DDDAB,,,ABCACAB,,CCDAABAD,,ACACCA
,D,BDAC,,,AADBADAC,,,,,BCDBADA,,,CDCB,BCDCBB,,,ACBBD,BAABABBB
BDCBA,,,,CD,,ADCAAB,D,,ADAAD,BACCABB,,BDC,,,ABADB,ACD,,D
,,,BCCDA,,,BDDD,ADDBB,ACCAD,,DD,,,,,,,,CD
,,,,,,,,CADCADA,,,,CCACBAB,,BD,,DA,D,BCDC
DACDA,,,,,ACDBCAC,DDADB,,,DDC,,B,,DDBD,,,,BA,BBBCABD
,,,BD,,,ABDB,,BA,,,CAABDB,,,,,,,B
,BDCA,ADAB,CA,CBDBCDDB,,,BBA,,BBD,DAC,,,,BA,AC,,,CBCDAD
,,,,,,,,DCCAACCD,,CA,DAABBC,,DADCBDABDC,DDB,,,,DCBD
DBBA,,AACBAA,BA,,,DAA,,,C,,,,,,DBA,,CBBABCD,ACBDD
DAAAACDC,,,DAB,,,AABA,AACCDD,,CDAAB,,,,CDDAA,BCDC,,AABDC,,CAAADCCDD
,A,,,,BBD,,,,,AB,,CDA,,,ACBD,,,CD
,,,,,A,BCDBADB,,CCCDB,,,,DDD,,,,CDB,,B
DCDBA,,AABBD,,,,,,,,,,,,,,,,CBBBDACDAB
,,,AAB,,DCDCCDDC,,CBBBC,D,,BA,,,,,,CC,,C
,,,,,,,B,,,,AAD,,BCBDCAB,A,,,,BDCA
,,,AC,,,,,,A,CAACCAAA,CDC,ABAB,,,CABDD,,,BCABACBBB
,,B,ACCBCDCB,,,DCCC,AADDD,BACD,,C,ADB,D,,,CDC,,DCDDBBADA,BCBDCC
,,ACCDB,BBA,,,,,,,,DABBCA,,,,BCACD,,,BDBDCBAB
,DCBCAC,CADC,,,,,,,DABAC,DD,,,DBCB,,,,,BACBCAAB
BCC,CBD,,,,,,,,,,,,,DBADCD,,,DBCAADBD,BABCDD
,,,,,BCCAAAB,,C,,,,,,,AACAC,,,DBADDAC,BDCACBA
DACCB,,,,DCDDB,,,,,,,,,ADCBDDCC,DACDB,C,,,C
,,,BAC,DBABA,,ABCA,,CB,,,,BBC,,,,BB,BCA,AAD
,,,CCDDBD,,,,,CADDA,AB,,BAB,,,AADDA,BDCD,,,CC
C,,DDAAAAD,,,,,BDCBC,DADBC,,,BCABC,AAAC,,CBCBBACB,,,,AADADA
,,D,,,,,,ADCCCDDC,,,,DCDDCAD,CB,,,,DDADDCD,BCACABAAB
,,,,A,,BBBB,,,,,,BDCA,,,,,,BCCBCD
,,BDDBDB,ABACCDDA,,,,,BCBBDCBCAB,BAACA,,,,DDBDBD,CBABB,DAB,,,ACCA
,AC,,,,,,,DCBD,,C,,BCBDAD,DB,,CDBBDA,,,CDDDCDBA
ACC,ADADAAC,C,DBABDAAC,,DA,,,DDDABBABD,,,,DDDCBABDBD,,,BAACB,,,DADCDA
,BC,CAAAAABCB,DCDAACA,,,,,,,DBABABC,ABCCA,,BBDADCDCB,,,,ABCDA,A
,,,,,,AD,AAD,,AAD,CBACA,,CADBA,CBA,ADCCB,,DDAC,,DCCB
CC,,,,BB,ADDD,DCCA,DABDBD,,,CBBD,CB,,,,CDAAC,CCC,,CCCCACA
,DDABB,,,,,,,,,BBCBB,,CAA,,,DBBAABD,DBAC,BBDD,BCAADB
,AC,,CCBD,,BBDDBC,,,,DBCBACBC,BAB,,CB,,,AA,,,CAA
,,,BABAD,,,,,B,ACAABC,AD,BC,,,CD,,CB,,BB
,BBDACABD,,DCC,B,,,,,,,,,CCC,,,,DBB,CD
CCDCA,,BDACCC,ABCC,,,,BAB,,BADDAD,B,BCABCDD,DCCC,,AACAD,,CACDCDC,,ACADD
,,,CC,,,ACCDAB,,,,,D,AB,AABADDBC,DABDCBC,DBDBC,AABDCAD,DBC,DBABCAABA
BAABC,AAA,,CAADA,,,,DBCBBDA,DDACCB,CDCDC,BDCDB,CBAA,,,,,BAAAAB,,CACBBD
DDACDBAD,,,,,,,,,,CCBCBBAC,,,BCBBDAA,,DABADBDCBDC,,,DACBCCC
ACDACB,DDBCB,BADB,,,,,,,CBAAADCAA,BCCDD,CCDABC,,BDDACAD,BC,,,A,DCBABAD
,B,CC,,AAA,,,DD,,,,,CACA,DABC,,,,,ABBBDD
D,CBBB,B,,,CADACA,,,,,,,,,,DB,,,BCDBCC
,,,,,ABBA,DA,,,,DDCADCDBDB,,DDBDAB,,,,CADA,,ABC
,BAA,,,,,,ABABDBBC,DD,,BDDCAAB,,BBCDDDACC,BDBCDDCBC,,,,CBB,ABCCACAA
,AADBABAC,,AB,CAA,DABA,,,,,ABCD,BCD,ABBA,,CCC,,,ACADA,BBCDDAC
,,,BBBDD,,,D,,,CA,,,,,,,AC,DABDAAD,BCBDDACD
,,,CBAC,,,AAAB,DAAC,,,,A,,,,,,CCABC,A
BDB,,CBAB,BADDBCA,,BDDAACC,,,,CBCA,,A,,,AC,BDDA,,AABBAC,CC
,,,B,DDDB,,,,,CDCC,,,BBDDAAC,,ADB,,D,,BDBCCBD
,,,,,,,,,,,,,CDDCC,DDCADC,,AAA,,AC
CAACDD,ACA,DACCD,BBD,,,A,CAA,,,CCD,,DACCDD,,BCD,DDAD,,ADDBACBC,DAAAC
AA,,ABBDDAAAB,DDBDADBA,AB,BDA,,BDABAABAD,,BCCA,BCA,,,C,,DDD,,,DADDBBC
,,DDDBDBBA,,,,,,,CABDA,ADD,,AABDB,,ACBCC,DA,,,ACB
,,,BACAB,,CDC,,CAAA,,BAAADA,,,,,DA,,,,AABD
