pos,pos_1,pos_2,pos_3,pos_4,pos_5,pos_6,pos_7,pos_8,neg,neg_1,neg_2,neg_3,neg_4,neg_5,neg_6,neg_7,neg_8,coding
AACCC,BDDBD,DDBAD,DADAA,ABBCD,DDAAC,DBADB,ADDDC,CADDB,BCCAB,CDACA,CABAB,BBCCD,CDDDB,BABDC,DDDAD,ACACB,BCAAA,BCCDD
CDCCA,BBCCD,DDCAA,ABDAA,BCCAC,CAACC,DDDDC,BBCAD,DDABC,CBDAB,ACDBA,CCDDB,CADDC,CBBDC,CAABB,CDADB,CDDDC,CACAB,CACBC
BAACA,BABDD,CADBA,CDBAD,CCBBC,DDBDA,CDBCC,CAACB,CAADA,CBCAB,AACAD,ACACB,DCAAC,ABCCA,DBACD,BCDDD,DBBAD,DADAB,BDCCD
CACCC,BADCB,DBADD,CBBCC,ADCBB,BABAA,AACAD,DBADD,BDBDC,ADACA,ABADD,DCBDB,BBBBA,CACCC,DAACA,DBBBD,CDACC,CCCCB,BCADB
ABBDA,ADBAC,DACBA,DCABA,CBDDB,CBCDD,DAABD,ADDCB,ADAAD,CACDC,CDDCC,DBBBB,AABDD,DBDBC,BBBCB,DCABC,CAABD,DBADB,BDACB
BBCCB,BBBAB,BDADB,BBBDB,ABCDA,CDCBA,DBDCC,ADBBD,DBBCD,BDCAB,DACCB,CDCBA,BDCBA,BAADB,CCCBB,ADDAD,CBCCC,ACBCC,DABAB
BCCDA,BADCC,BDBCC,DDDAC,CABDC,AADBB,ACABD,BBCCA,CABAC,DBDBD,ABDDA,BAAAB,BCDCB,DADCD,AAADD,DADAD,CDDBA,DCBDC,AABBA
ACCDD,DCADC,ABBAC,BADBC,CDBDD,DCADD,CDAAC,DCCDB,BBACC,CACBD,AACBD,DADAA,DBBAB,CCBCB,ABADD,AADCB,CCCBC,BBDBD,ADDDD
CCCDA,ACDDA,BCCAD,BBDDC,ABBDA,DACCC,CAABA,AABCD,ADCDD,AACBA,CCDCD,DABAC,BDCAB,BBAAD,DCBDC,ABCCD,AACCD,ACBAD,CCDDB
BADDA,DBBCA,ABACD,BCBCC,DDABD,DCDCA,AAABC,BCBDB,CCACB,CBCDD,DBABC,ACAAD,CCACA,AADBA,DAACA,ACCBD,BAADC,BDCAA,DBDBD
