pos,pos_1,pos_2,pos_3,pos_4,pos_5,pos_6,pos_7,pos_8,neg,neg_1,neg_2,neg_3,neg_4,neg_5,neg_6,neg_7,neg_8,coding
,CC,,,,DCC,,,DCAD,,,DDDAB,,,BBCAAAB,,CDDAABAD,,ACCCA
,D,BDA,,,AABADAC,,,,,BCDBADA,,,DCB,BCBB,,,ACBB,BAABABBB
BDCBA,,CA,,C,,ACAAB,A,,DCAAD,BACABB,,BADC,,,ABADB,ACD,CBBCCCB,D
,,,,,,BDD,ADDBB,ACCAD,,D,,,,,,,AABA,CDDD
,,,,,A,,,CACDCADA,,,,CACBBAB,,BBDC,,DA,D,BCDC
DACDDA,,,,,ACDBCAC,DDADA,,,AD,,B,,DDD,,,,BA,BBBAABD
,,,AD,,,ABDBB,,B,,,CAABDB,,,,,,,B
,BDDCA,DDAB,CA,CBBCDDB,,,BBA,,BBD,DAAC,,,,BBA,BC,,,CCDAD
,,,,,,,,DCCAABCCD,,CA,DAABBC,,DADDBCBDABDC,D,,,,DACBDA
DBA,,AACBCAA,BB,,,DAA,,,D,,,,,,DA,,CBBABC,CBD
DAAACDC,,,AAB,,ADDB,,AAACCDD,,CDAAB,,,,CCDAA,BCDC,,AABDC,,CAAADCCDD
,A,,,,BBC,,,,,B,,CDD,,,ACBDD,,,DD
,,,,,AA,BBCDBADB,,CCCDB,,,,DDDB,,,,CBB,,BB
DCDBA,,AABBD,,,,CACADA,,,,,,,,,,,,CBBBDACDAB
,,,AB,,DCDCCCDDC,,CBBBC,DA,,BA,,,,,,CC,,C
,,,,,,,C,,,,AAAD,,DCBDCAD,B,,,,BDACA
,,,AAC,,,,,,,CAACCAAA,CDA,ABAB,,,CABDD,,,BCACBACBBB
,,B,ACCBCDCB,,,DCC,AADDB,BCCD,,C,AD,DD,,,ADC,,DCDDBBABA,DCBDCC
,,ADCDB,BBC,,,,,,,,DABCCA,,,,BCACB,AB,,BDBDCBA
,DCBCAC,CAADC,,,,,,,DABA,DC,,,DBB,,,CCACB,,BACBCAAAB
,CB,,,,,,,,,,,,,DBADCD,,,,BABCADD
,,,,,BCCAAB,,A,,,,,,,AACAC,,,DBADCA,BDCCBA
DACCAB,,DDBCBDACCA,,CDDB,,,,,,,,,ACDDCC,DACDAB,CB,,,C
,,,BABC,DBAA,,ABCAA,,B,,,,BBC,,,,BB,BDCB,ABD
,,,CCDDBD,,,,,CADDA,AB,,BABD,,,,BDBDB,,,BAC
CB,,DDAAAD,,,,,BDCC,DADBA,,,BCAC,AAC,,CBCBBACB,,,,AADADA
,,D,,,,,,ADCCCDBC,,,,DCDDCAD,CCB,,,,BDDADDCDD,BCACABAB
,,,,,,BBBB,,,,,,BDCA,,,BBD,,,BCCBCD
,,ADDBDB,AACDDA,,,,,BBBDCBCAB,BBAACA,,,,DBDBD,CBCBB,DAB,,,ACCA
,AC,,,,,,,DCD,,BC,,BCBAD,DA,,DDBBDA,,,CDDBCDBA
AC,ADADABC,C,DBBDAAC,,DAD,,,DDDABBAB,,,,DDDCBABDBD,,,BAABCB,,,DDCD
,DA,CAAAAABCB,DCDAACA,,,,,,,DBABAB,ABCCBA,,BBDADCDCB,,,,AACDA,B
,,,,,,AA,AAD,,AAD,CBAC,,CDDBA,BBAA,ADACCB,,DDAC,,DCCAB
,,,,BB,ADDDDB,DCCA,DABDBD,,,CBBD,CB,,,,,ACC,,CACCCACA
