pos,pos_1,pos_2,pos_3,pos_4,pos_5,pos_6,pos_7,pos_8,neg,neg_1,neg_2,neg_3,neg_4,neg_5,neg_6,neg_7,neg_8,coding
AA,,,,ACCBDDBD,,CDBDB,CCCD,C,DCC,DCCABBDABB,,,,BCC,,,BDD,CACABDD
,,DAA,,,,,,DCCC,,DCD,,,,DBACDBC,ABADDACC,AC,DBABCD,DDCADDCC
,DAAABBC,CAADA,AAACABD,AA,DAD,,,CDDAACD,A,CB,,,,,D,,BD,ACDB
CACBCD,CADAC,,,,,,,BDCAA,ACABDCD,DAAAC,,CDCB,,,,A,ACAB,CC
BDAA,B,CBCDBCDC,,ADAA,,,BD,,,,AB,,DACC,ACDCDBB,,DCBDC,,CBA
,CCACBBBC,BCADD,BBBA,,,DBBDCBCA,BCBCDD,,,CBBCB,,CCADD,,,,,DBA,CADDBADA
,,DAABC,DADD,,,,,,,DBBDCBADB,,ADB,DCBD,,,,,DACACDCDDDD
,,,,CBA,A,,,,,CCDDA,,CDDBDAD,,DBCAABCD,,A,,BCCBCBBCBD
,,BDDBDD,,,,,,,,BCDB,B,,,,,,CBBDCBC,CAADAB
CCDCD,,BCAADCC,,ABC,,,,CDB,,DBACA,,,CABDBAB,A,,CCCA,,CACBA
,,,,,ACDDBD,,,,BABACA,DD,,,B,,,A,,ACACCA
BC,,,CBCAA,,,ACBD,,,,,,,,,DAADD,,BAACCB,BAD
CA,,,,A,,,ADD,,DDAC,,DACBC,,ADADBBAA,,,DABBBAAADB,BCADD,DDAABDBD
,,,,CABCB,,,,,,D,,,,CC,,,,ADADAC
,,,,BDAD,DCDBDC,,CCCADB,,,,BC,,,BDCCCBABCD,,CABBBD,,BCBDB
,CABCDAD,,,,,ACD,CBCCBD,DDCA,,BDD,DCCA,CBAB,,,AD,,,CABBDCAD
,,,,AAC,,,,,,,,,,,DDDA,,,CCBA
CBAAABAA,,,,,,,,,BBADCAB,CCBB,,,,CCBDAD,DCBAABD,AABAABA,,AADDDCD
,,,,C,,DBDBBDC,,,A,CD,D,,,ACAAB,,,,CA
,,,DADDCD,,,,,,,,,,,D,,,CACC,ABA
,,BADBAAA,,,,CB,,C,,CCCAB,ABBBAB,,,CCD,A,,,ADDADABDC
AACAAB,,,,,DBABAADC,,,,ABCB,,,,,,,,,ABD
,CCDBDB,,,DDCCC,,,,BA,,,,,BB,,,,,CCDCDDADD
CDAC,,B,,,CD,AB,,BCABCB,,,BCDDABC,,,ACACA,,,,BBDBBACCDD
B,,,DADA,CCB,,D,D,BCA,BCD,,,,,DBBDBA,,BCCBADB,DDADD,CCB
,,,,CDDADDA,,,,,,,,AB,,CC,CDDDBACB,,,CCABCD
,,DABDB,,,,,AD,,CD,,,ACBCACAA,,,DAAC,BCBDD,DACAD,DABDDBDA
,,,,,,C,,,BAB,,BCCCA,BCADC,D,,,,,ADDBD
,,,CDD,,,,,,CBACB,,B,DC,CAABBD,,,,,CCACCBA
,ADC,,,,,,,CCBAA,,CBDBB,,,,C,BDBBDDAAD,DCB,,BACA
BDDBC,CD,CDAD,,,BCCCBD,,,,AB,,C,,,AACDDAABC,,ACD,,CCAB
,,,,,,,,CA,,,,,,CCBC,,DBCCBB,,CCDC
,,,AACB,AA,D,BCDD,BC,CBAD,,,D,,,,D,,,AADDABACBD
A,,,,C,,,DBCA,,,,,,AACBBAA,BBDDA,,ABBDD,,CBCBAC
,B,,,,,,,DB,,CCBA,,BDC,AB,,,C,BABBB,AABBA
,,CCCBA,,,,,,,,,BAADBB,,ADBDADABDAA,,AABA,,AADCD,BDBADABBCAB
,BCBDABBB,,,,,AB,DACDAC,,CAADD,,ACCC,,ABB,,,,ACDA,ADBDBBCB
,,,,,BDCBBADBD,,,ABBCDBA,,BADADB,,,,,DDCB,,,DBADDBD
,ADAA,,,,,,,,,,,,,,DCD,,CCCCB,BDD
ACB,BACDCBCBB,,CDDA,,,,CCACC,AACAADA,,DADDB,ACAAC,,CABAB,ACADA,,,,ACDCAD
,,,,C,DBBD,,,CDDBA,ADCBDDCD,,,DC,,CB,,,D,AAB
,BCBBDB,,DBBAA,,,C,,AAABCB,,DB,ABBB,,BBADBBA,AA,,,,BDA
AACDBCAD,,,DAAACCA,,,,BDADB,CDDDD,CABD,,,AACDCBB,,,,DDDC,CDABC,CBA
,AA,,,A,,DC,BCB,,ADCDDBC,,,,,BDBCBA,,,BCAAD,CDD
C,AACACAC,DCA,,DDDCD,DCDB,,,BADAC,,,,BAC,BCBB,,,DCC,,DD
,BDCBBCD,BCDCDC,,BBCB,B,,BA,D,,ADBDC,,,BAD,A,C,DBBDAB,,DDBCC
BBCCBAB,,ADBDB,,AAACA,DA,,,ABDC,,,,,,CBAADADDC,,,DDAB,ABCDBD
,,BBBABBADD,,,,,,,,,,,,,BBB,CDD,BDBA,BADACD
,,BBADDC,,DCBDBD,,,,BCA,,,ADB,,,,DDBDDDACACB,CCCA,,DCDBDCA
DCC,,,,BDDB,,,ABDCC,,,C,BDABBC,C,CDDA,,DADDB,,,AAAADABC
ACBBA,ADC,,CD,,,,,,,,,,,DDCAB,CABC,,,BBDACBCB
BBC,,AACAC,BCDA,,ACADCAA,,ADDDD,CCCBCD,,A,,,B,CCDAACC,,,,CBCBCD
CDABACD,,,BCC,,A,,DB,,BB,CDADAD,,,BCDA,,,,D,DABADDBD
ABCA,,,DBDACC,,DCBACCDDB,BCD,,,,BC,,CCBAA,,,,,,CAACB
,,BDC,,,,,D,,AAA,,CAADC,DA,,,,ABAD,,CBADCBCA
,,,DB,ADDAAB,CDDB,,,,D,,ACB,,BDACDA,,,,,BBD
BACACA,,,ADB,,,,,BBDA,CBCBBDB,ACBAB,,,,,,,,BC
,,,DBACA,BCDCD,,,,,BBACDCB,,CBBD,,,,BCC,,DCDD,BDCAA
CC,,CDDAAAA,,,CBCBA,ABDA,,DACC,,B,,CBCCAADD,ACCACBC,,CBDB,,B,BDBCBCBBCB
,,,,,,,,,BBD,ACD,CA,,ABB,,,,,BBDDB
,,,,,AAA,,,,,DDCDB,CDDCABBA,A,,,,,,BBBABCD
D,DC,BBDD,,,A,,,,ABCCD,,AB,BBCBAD,,,,,D,A
,,,,,D,,,,,,,DC,ABABAA,,CA,,AC,CDAACCBAA
,,,,,DDCCBCCD,,,,,CADAB,,,BBA,CBA,,,BB,A
,,ACDBB,,,,CD,,BCD,,BADDD,,ABDBAA,DBA,,,,,AACCC
,,,,DDCDA,,,,CBDCA,DCDCDDA,,,,,,,BDADB,,CBDDCCBBDB
BCBDBCBDC,,DA,CBDBC,,ADDA,,,DADADCAD,,CBACC,ACCDCA,,CD,,,,,BCAC
BCAD,,BCBB,ACBABDD,CBACADB,ACBCC,CCCAB,,,CCDB,,,,,DDCC,,,BACBB,A
,,,,DAADBD,,BBBAAC,CCCB,,,,CCCAAA,BBC,,,,,DDBBDCC,DDDD
,,,,,DBBD,,ACC,CBBCCC,ACCB,,CDADBADDB,,,AADBCD,,,BCB,BBCDA
,,,,,BBCCA,D,BAC,,,CADCAAAAD,,AC,,,AAADA,BB,,BBCADD
,,A,DDDA,CBDBB,,,DA,,,,,,,ACD,,BCCBC,CCB,BB
,DBBCB,D,,,,CADD,,,,CC,CBBCB,,,,,BBACBB,,ABACAA
,,,BAD,CDC,,BCD,CBACABDBA,,,DABC,DBADBDC,,,ADDADA,,,ADA,CDC
,BDD,,DBCDA,BD,,,,,CC,AADDC,,,CBACA,,,,,DDA
,,C,BACA,,CBDACA,,,BACDBDD,ABBA,,C,,,,,,BACD,ADCBC
,C,,,DAB,,,,ACDCCC,,,,CDA,D,ABCA,,A,,ABDACBDACD
,,,,,CBCDB,,,,,,A,CBCC,,D,,,,CBABBB
,ADBBC,,ABDBBDCD,,AADB,BBA,,,,,,,,,ACAC,BDA,,BBBD
,,,B,,,,,,,CAC,,BDBDCA,DADDCC,,,,BAA,CABA
A,BCDCA,AB,C,,,,,,,,,ACDAD,DA,,,,,DDDABDC
,AABDDDDC,ABDCDD,,,,AAAADBA,ABDADDC,,CD,,DDC,,,,,,,DDCCDBD
,,,,,,A,,,,,B,ADDB,,,ACBAACBAC,,,DCBAB
CACCAA,,,,,AADC,,BBCCBCBD,DCD,ABABD,CCBCB,BB,,ADCC,,,,,BBD
,,,,AD,,,AABAAD,AAA,BB,CBBADD,,,,BCBBBAAD,,DCCDD,AADAB,BABCADA
,,,,,,,,DCBC,DDC,,ABA,AADDCC,AB,BBBACAD,BA,,ABAAD,BCBDBB
,CB,BB,,C,,,C,,DB,,,,,,,BCB,DBCADBD,ABABDADBDB
A,,,CAABCACA,,BABCAAC,DB,,,,,,,,,,,B,CABCC
