pos,pos_1,pos_2,pos_3,pos_4,pos_5,pos_6,pos_7,pos_8,neg,neg_1,neg_2,neg_3,neg_4,neg_5,neg_6,neg_7,neg_8,coding
,,BC,,BCCDDDDBA,,,,,,DAABDABDCC,,,,,,AAAD,,DAB
,,,,,,,,CBA,,,DDACB,,,,BDDB,,CD,DCD
DDBD,,AACC,,,,,CAAA,CBABCDC,CCBABDCB,,,,,DCDDA,BCCA,AAACBCB,DD,BDDBCACDA
BADDCD,,,,,,,DBBBCBBDD,,BBD,AC,ABCBCADACDB,BCA,C,DB,BBCCCA,,BAAB,DACBA
,ABCDCA,,DAAABDDDA,BBAADC,DBBDABB,,,,,,,C,DDCB,,,B,,CBAAAD
,,,ADDB,BDAACCC,DCDAC,,,,,,,CDDB,AB,CDBC,CBDCCB,,BD,CBBBAAC
,,,DAACBD,,,,,,,,BAD,,,,,AABB,BBABAACC,BBCAA
AB,,,CABDBD,,,,,DBD,ADBCC,DC,,BBAD,,,,CAA,,DCDABB
,,,,,,,,A,ACD,AA,,,CBDACCBB,B,BAC,,B,CDACBBC
,CBCBDD,CA,,DBB,,,AA,,,,,,CABADBD,,,,,ACA
,,,,,,D,,,,,,,CABBA,AACA,,DBBBD,,CBDDBD
,CDDAB,,C,,,ACD,,,DCDAAA,BBDBBBABB,BAAAB,ABBCD,DDCBCCDC,,AAA,,BAA,DCDDCB
,,,,,,DABBC,,,,CCA,,,BDBABD,,BBCA,DBAAC,CBBBABA,BABCB
A,,B,,ACDC,,,DBB,,,,,,,CBACCBACC,,,CAA,CAACCB
CDDA,DDDDC,,,,,A,,AADA,,,,,,,BDCCCCBB,CDAACA,CADD,A
DBBA,DDBCB,,,CDACDCDAB,,,,,BAD,,,,,,,,,ADADDDBC
CCAD,DC,,,,,ABDD,ADABDB,,,,DBC,,,CDBACCAA,,,CBBC,CDCDAACD
AAACCDB,,ADD,BCCABDBC,,,C,ABAAAD,CAADBA,,,,,CBBA,,AAD,,,ACCD
,,,CB,,,,CCABCBDCC,DADBDABA,AAC,DCBBD,,,BBBDCBA,,C,,,BCDD
,,,,,DCABCC,,,,,DC,,ADCDAC,BDC,ABAABC,,,,AABDDCAA
,AADB,,,D,,,CDCADA,,,,,DABDDD,CB,,BBDC,,CADA,DABCA
CDCDDB,ACA,ACDDABBB,,BCB,BAA,,,ADCBCBD,,DCAADD,C,,,,BBD,,BB,ADBBADBAC
ADDB,,,,,,,,ADCCDDB,,,ACDDC,,,,,,DDACAAADB,BCCCA
BBCCB,CBCD,DA,,DBADA,,,,,,D,,,DBCCBAA,CBCBDAAAA,,,,CCDC
,,BC,BBDA,ABBAD,,,,CA,,BCCD,,,,BDBAD,,BAB,,DCCCDB
DA,,,CDBAAB,,,,,,,,CB,,,,,DCB,AB,ABDDA
BCCBDC,CDC,CBDC,,DCCDADDAB,,,BABA,DCDA,ACAAD,,CACADAB,BC,,AD,,,,CAC
,,,,DDDB,AADB,,,,ACABCA,C,,BDBCCD,DBC,,,,CB,ABAACCD
D,,,,,,BCBBCADDBCDAB,,,,,DBADB,,D,,BCBC,,,BCCCAAA
BCBCBB,BAACA,,A,,CDBC,,,,A,,,,,,,,,BCCDDD
,BDCD,,BBACD,DCBAC,,,,,,AACBD,CBAA,,,,,,BCCACABDC,BCAD
,,,CBBBBB,,,,,,CCBBA,BBABA,AACACC,,BA,,,,CADB,CAAA
,,,,,DA,,,,,,CDC,,,,,,,ACDBDCB
,BA,CADABACCB,CA,,,,,AA,ACACBAC,DBABADCC,CB,DDAB,BCA,,,DD,,ACCDDBD
,,,C,DADBDDAD,ABDDA,,CC,,,ADACCC,,,,,,ADDC,CAAABC,AABB
,,,,CDBDBDCDC,ACA,D,,DBABB,C,B,,BCBDBB,,,,,,BDCCADA
,DCBACBC,,,,,,,CA,CDABCB,BBAD,,,,,BAB,,,CDAC
