pos,pos_1,pos_2,pos_3,pos_4,pos_5,pos_6,pos_7,pos_8,neg,neg_1,neg_2,neg_3,neg_4,neg_5,neg_6,neg_7,neg_8,coding
,A,BACAD,,,,,ABA,,,,,ADABDBD,BCDCBBC,DDBCBBDCA,DDDB,,BDBA,DDAAC
,BDAD,,DABC,,,ADBDCA,,,,,,CBAD,,,,,DCD,D
,,BDA,,,,,,,,CBAACDC,,,,,C,,,BADC
,,CDC,,,BDADDABD,CA,,CCCBCA,,,BACABD,BDDBBC,ADCAABD,DDAADA,BBCBCB,ADB,,AAB
,,CAABADBB,,ADC,DAD,,ACCAC,ABD,B,,,D,DBBC,DCDABAAC,CCDCAA,DAD,BDBCC,DB
,,,CD,CACCBB,CA,AACBDAC,,CA,,DDDCAA,,ADDCBAA,,,,,,DAACBDDD
,,,,,,BBBCD,,A,,A,,AABAADBB,DCB,AACCC,,,,BA
BCAAABBBDB,,,BCAAD,DBBB,CB,,AABB,,,CB,DBC,BDBBBBCDD,,,,,,AB
CABA,BADDAA,,,,BD,ABDC,,,,AC,CC,,,,,,CDDB,ACDBABDA
A,BBACAD,DBDCA,,,,,DADDCA,BDC,,,CBDCCD,,BDDC,,BACAAB,,,BC
,,D,DCCC,,,,BADBB,BDBA,,,,ACDADDDBC,,,A,,C,ACACC
DAABDACA,,,,,ACDCCAADAD,,BBCA,,,,,,,,BACCDC,,,CC
,CBADAB,BBCAACCA,,B,,AABAA,,,,,BBCCBD,,,,,,BD,BBB
,ABCDBD,,,BCADACDC,BDC,,,CD,DBBBD,,,,AC,,,CBB,,BAABABBC
,DAC,,,,,,DA,CAD,ACD,,,CA,,ACDDA,,DBADA,,DACAB
,,,,,,BBCABDB,DBCD,,,AB,,,BDD,,,,BAD,B
CD,,,,,,DA,,,,,,,,,,,,AADAAD
,,CC,,,,BADBABA,,B,,,,,CBC,,,BCAAC,AAD,DBAA
A,,,,DBBD,,DCC,,,DAADDC,,,,,CAB,,,BDDACD,CBDBBDBDDC
B,,,,,CB,,,,,CDB,,DABC,,,ACCCCBB,,DCDBCDBBD,DCC
,,A,,,,BDCA,ABDDA,,CA,DBCD,DBADC,DBBDBCBA,,,ACCDAB,,,BACCB
CDD,,CAC,AC,AC,ACCCCAB,DABDAACDAD,ABDCAB,CD,DBAC,CBBBB,,DCA,,B,,,,ACBBA
,DDC,,CAAD,,CCABD,B,B,BBCB,,DCBC,,,,,BBB,DDDABB,AAD,ACC
,,,DBBC,,,,DBA,,CCC,BB,,,,DB,,CDACDBB,C,ACCBA
,,,,,,DDDCDAA,D,BDACB,,BAADC,ADA,DB,C,,,,,DBDCDCCC
,,,D,ADCB,BBCBDD,BACBBAB,B,BBC,DDCDBAB,,,,,,,,,DABAA
,,,,,,,BAABD,AC,,,,BDBC,BC,,,BCA,,DDC
,,CACCD,,ADACC,CAB,,,,,,,CCBDDDBB,,BDACBD,,,,ACDBCACC
,,,,BDBCA,,,DCCBDBDCC,,BBD,ABBAACCC,,DDCBD,,,ABCAB,BAD,,CAACC
,,,,,CA,,,BCADCBD,,,,,,CB,DBA,AAD,,C
B,,,,,,,CABAABC,,BB,,,,CD,DC,,CADA,,CAD
BCCAC,,,DDBCCC,,,,,,DBCACDB,,,,,CCDB,,DD,,CBCCCD
CBADB,BD,AA,BCCCA,BDBBDDD,AA,,DDC,,BADBBB,CADDDC,,BDCDAD,,,BBBB,,AD,BCBDABBD
,,,,BD,DDCDB,,,BDDCB,DBAACA,,,,DDA,,CDDBABD,BCABB,,C
,AABCACD,,B,,ADCDCB,,,,B,,,,CDDDD,,,ABCD,DBBDB,DDDAC
,,,,,,,ADDCBC,,,,,,CAD,,ABBCDACD,,AB,DDCB
CBAD,,,,BDADDA,,,,,CACD,,,,,,,CDBCAAA,BAA,DCDB
,BCA,,ABCDC,AD,,C,,BDCBDB,,ACAA,,BC,,AA,,,,BBBD
,,,,,BBBAB,DCACDBA,,CDBACBDCB,DACBCBDCD,,,,ADBC,,DDA,,BACAA,D
,DBACCBD,,,,DBA,CDADBC,B,,CBBCCBA,,DDDABCBCD,,,C,,,DAA,C
,,,,DCDBB,,D,,BDCC,,DBDB,,,,,,,,DDABB
,,,,,,,,ADBDBA,ACB,DCCA,,CBAAC,,,CACC,,CDADDADDAB,BBBCBCA
,,,,,BABB,AA,,CC,,C,,,BDACBCD,,CCCC,CAD,,CDCAA
CABACD,,,ADCDBC,,,,BCDCADAC,CBDCDCDDA,,,CBBBA,,,BDBAA,CDBCBABC,,,DCDBCAD
BBABD,,,ADBDDA,,BACCDD,,,CBABBAAADBA,CD,,,,,,CBAAB,,ADA,BDBDDA
,,,,,ABCAA,,,,C,,,DCBDADB,,,,DD,CABCA,CADCBCC
,,,,,,D,ABBCDAB,,,ABCA,,BA,,,,,,CCBDA
,ADBABAD,CABDBD,,,DBCB,,,,CCAD,,,AAA,ACBC,BACCDBD,,,,BCB
,,,,ABBBCDBB,BBCD,,,,,,B,BABCCBDA,,,,B,,DBCBCCCBD
,CDBD,,,BAABCAC,DDDBB,BC,DBCA,,,,DBAAAC,,,,BC,DDCDAADD,ADB,DCCCD
BB,,,,,AAA,,,,,ACA,,,,BACCC,,DDDDD,BA,AAA
,,,,ABAAC,,,,,DBCCB,BBCBDDAC,BDB,,,,,,,DDDAB
,,,,,,,,,,,AAADDDD,,,DA,DC,D,,DBD
BDC,,B,CCC,,,,,ADBA,,,,DA,,DCCADA,,,,CDC
AD,,BDA,,CACDDA,,,,,,,DAADC,,CDADADDD,DADBDDDC,,,,ABBC
,,,,CADAD,,,,,,,,ADB,,,,BBBC,,ABB
DBCBBDDDD,BADD,,,,AD,BDDC,DCAD,,,,,,,CCA,,,,BDDDDABA
,BAAAB,,DCCB,,,,A,,,A,DACBDB,BBCDCC,,,DC,,,CDBDAB
AABCB,,B,,B,,,,,,BAABCBCDBD,,,BC,ACACBD,,BDCCDAC,,BDDAC
,,CABDA,,,BABC,,DABBAA,,CDBB,,,,DBBBDC,,,,BABBAACAA,DBB
BAADD,,,B,AD,,,BBCDDB,,,,AADCDB,DCCB,,,,,,BDCCAAC
BDADAD,DA,,,A,DBDAD,,,BAADC,,,BDADBCCADD,,,,,BBDCBA,,ACAA
C,BBAA,,,BADBCC,,,,,,DAAC,,BBB,,B,,,AA,AAAB
,,BCBDBBADA,,,,,,BBBAABAA,,,,,,,BBADC,,,CDCB
DCCCAADB,DACC,,CC,,BCBABCD,,,,BCADBB,BDAAC,D,C,,BABAAD,CACCA,,CBB,BDBA
,ACAD,,,,,,,ABDCC,DBD,,,DCC,BD,,B,,,BCAC
,BCBD,,,,,,,,,,,CDAAA,,,BBACCAB,,,ACBCCA
,,,BBADDAAD,,,,DD,,,C,,,,CDCDD,,DBD,,BCBBBBC
,,,AACC,,,,,,CBCCA,BCCA,CCCAD,,AACAD,,,B,,ACBD
,,,,,CAC,,BABCBCB,,,,,,,,CBBCDDAA,,ADBA,BBCDBB
,BAABC,,AAB,,,CCBACAACA,ACCD,BBDDAB,,,,,,,,A,BA,BACBCDAD
,,,DDDAC,,BBB,DCCDDB,AB,CBBA,BAAB,A,BADCBA,,,,DACB,,,BCCABB
,,,CA,,,,DDDDB,ABCBB,,BDA,BC,,DCADAB,,,,,BACCDBDBA
,,,,C,DCCABA,,,,,,CCCDBDD,,,,,CCDDC,DDCBABD,AD
,,,,,,,,,CBA,BDAB,,,CDB,DCDBDB,ADC,DD,,BADBCAA
,CCAAB,,,,,,,,,AB,DAD,,,,,BDDBDB,CDAACAAA,DDBABD
,BCAD,,DCDAACAAA,,,AA,,,BACDA,DA,,CDAD,DABA,,CC,CCDADAB,,A
,,DCDABABD,,CCDD,ABB,ABCD,,,ADDBDBB,,,B,,,,,,BCDCCBBDABB
,B,DCBB,,CCBC,BBCBCBA,BDADBBDB,,D,ADDCC,,BCDBBD,,C,,,BCCA,,DCC
DCC,,,,,,,DBDB,,,,,BBB,,,,,C,BACD
,ADDBCDD,CBADDBDD,,DCB,,ABDCC,BCBC,,,,,,B,BDBD,AB,CABAC,BDC,D
,,AD,,,DAACC,DBCCDCDB,,,BDCACDD,,CACCCDCA,,,,,,,BCDBD
,ADCDB,,,CBDDDAD,,,,,,,,,,DDBC,DDDC,ADCBB,CADDDC,BBBAAAB
,,CADC,,,BAADDA,,,,CCBBAAC,,,BCAB,CADBABDB,B,,,BDDA,BDCABDA
BDB,,,,AAB,DBAC,,,,A,,,CBD,CADCADC,,,BC,,CBDCADAC
BCDBBA,DD,,ACAC,,,C,,ADC,,,,,,AADABC,D,,,BBBCCC
DBDCACAD,,,AADBBD,,,,AAA,DBA,,,ACCAB,,,B,,,,DDDBBDA
,,CBACB,,,,,,,,BDADBABB,ABBD,,,BDDBCC,,,,ADDDBCDB
,,,,,,ADCA,,BCD,,,,AB,DB,,,,,CBDDC
,,BCAC,BCABBAC,,,BA,,,,AC,,BDA,,,,ACBBBBC,,DDAAAC
,BCDC,,,BADAD,BCADDD,,,,,,CCCA,,,,DDBD,,,DBD
,CC,,,,,A,BAB,,,,,,ADADDCB,,,,,C
,,,,CCDBABCC,,ACABDCCDC,,DAABCAA,,,,BDDC,,,AB,ADCDDAB,,BDCC
,,CBDBA,,C,CAADDD,,,,B,,,DDADAC,,,,,BA,AAADDAC
,,D,,C,,,BACADD,,DCCD,,BAAADABCC,,AAABCB,BBC,ACADBAAC,,,CDDDCAABB
DACBCD,,DA,,AB,,CACAB,,,,,BBBD,BCABBCCDB,,,,DCADCCBCBD,BB,DBBCCD
,,,B,,C,A,,,,,DABCDBA,CBCD,DBCDCCD,,,CCDB,,B
,,DDBB,,,BDDAB,A,,,,CD,AABC,,,AB,,BCBCD,,DC
,,,,,,AD,,,,A,,,,ACABDB,,,,DAAAAACDD
BDDA,A,,,,A,,,,,,,,CC,B,BC,,,CCCCDC
