pos,pos_1,pos_2,pos_3,pos_4,pos_5,pos_6,pos_7,pos_8,neg,neg_1,neg_2,neg_3,neg_4,neg_5,neg_6,neg_7,neg_8,coding
,,BCDCABD,AADAAAB,,,,,,,,,,,,AA,CBBD,BCDDBBC,DAACDDB
CC,,,,,,,,,,,,B,,CBCCD,,,AC,CBB
,BDAB,BACBCD,,,AA,,,,BA,,DDCB,DAD,AACCC,ACC,,,,ACA
,,,,ACDD,CDBCAB,,,CBDBC,,,,,,,,,,BBA
,,,AADB,,,,,,CAADCAB,,CACDAD,AAABDADC,,,,,,CDCADDA
,DDACDACD,ACCDD,CAD,,,ACBA,,,,,,A,,,BDDCBCD,C,ABCDAAACA,D
,,,,CDDB,,,,,ABBAC,AACBC,,,DBADBA,,,CDCCD,,CDACDA
,,C,,A,,CAB,ABBA,,,BDDBDAD,DDCDDACB,CDCB,,,,,,CDBDD
,,BDCBCBB,,,,CBBDD,,,,,,,,,,,,ACBBC
A,,CABABDCD,,,,,,,,,,BDCAADAA,,,,,,AC
,,CBCCAD,,,DBB,,,CDBCD,CADDD,B,,,,,,,,CADACDDABC
,ACABBC,DDA,BBDD,CB,CDDDC,DBAAC,,,,,,,,,DCCBA,DCBA,,DBBD
CDC,,B,,,,,CCDA,,DDAD,,,,,,,,AA,DAD
ABB,,BBADC,B,,BACBAC,CDA,,,C,ADB,,,BAACB,AD,,,,ADCACACC
BBAAD,,,,,,,,,,,,CDBD,,,,BB,AD,ABCDAB
,,,BDAACCCA,,,AA,,,,,,,BCBCCBBB,,DCDA,CBBCDBBAD,DBB,B
,,CCBA,ABCBCC,,CBAABB,,,,,BAAD,,,,,,C,ACA,BCCBBBA
ACCAAAB,,CCDDDDCCA,,,,,DBB,CBAD,,,,CABCAD,DADCBC,ACAADDD,,,,C
,,,DACA,BBCC,ADC,,,,,CCABADD,,,,,,,,DCCCDDA
,,,,,,D,,CCDAD,,,CBBAC,AC,ADB,CCC,,,BCDBADBBBC,CDC
,,,,,DBCBA,,,,A,BB,,,,,,ADDCA,,A
CCABAC,,,,CBDBA,,,,,BAD,CD,CCABD,,,D,,B,,BDAB
AB,,,,,,BAC,,,,,,,CDBC,,,,,BCBADA
,,,ACBB,,,,,,AA,,BABDCCB,,ADACDC,BCD,AA,,,CDB
,,,,BA,ADACA,BDABD,,CDDBC,,C,C,,,,CABDDB,,DA,ABACCAA
,,,D,ABCDCD,,A,,,C,,,DCCCDB,,,,,BDA,CBC
DCDAC,,,,D,,,,,,BACDBD,,,,BCDCCD,,CDD,,DCBCD
D,ABCBACBDA,CCCCCBB,,,,,CDBB,,,,BDBBADDB,CACACB,,,,DADB,,ABDBC
,DDC,C,,BBDCA,,,,,CABA,AABB,DADBCDBA,,,,,,ABA,AAAD
,DC,,,,CADB,,CAAAC,BAABAA,AADDCB,,DBDB,,,AC,,,,ACBA
D,,CBCBDCDA,CD,,,,,,,,DBDBCC,DABBCBDDA,ADB,,ACADAC,,,DDDCCCA
,CCCCD,,D,ACBDC,,,,,CACD,,BBCAA,,,AC,,,BCC,ADCDAC
CCB,,,B,,,DD,BCCA,CDAC,CC,C,,AABAAC,,AAABBCAD,BCCADB,,,DACBCBDD
,,BABD,,,BBCB,,,B,,CCDABCADDDD,,,BBCCBBDAB,AABACB,,,,AAADC
CAACAAD,,,CD,,B,DCDCA,,BBBB,,D,ADC,,,,,BDCBDC,,BBCABC
,,BCB,,BCCDACDDB,B,,DB,DBBDCD,BDDDBDB,ACACC,DDAB,CBDDD,,B,D,,,B
,,,,,,D,,,,D,,,DB,BDDCAD,DBCDB,,A,DABBAACC
BADD,BCAD,,,,,,,,,,,,,ACAD,B,DDCBBBC,,AABDABBCAB
,,CBCAACC,,,CDD,,,,ABABDD,,,,D,AAD,,,,CB
,,,,,,,,,,,,,,,,,,DDA
CCDCBC,DD,,CCB,DDACDAB,,,,,,,,CCBBACDAC,,,,,,AAC
,,DADAA,,D,,C,,,,,,,,,,BBADCD,,B
BAACA,AAC,,BDAD,,,,,DD,DD,,DDC,,,,,,,DCBD
,,DCDDBD,,BD,,,BDACC,AAC,,,DABCAC,,,DBD,,BBBBA,,DCDC
,DAD,,,BCBDCDC,,,BCCDCBABC,,,,CCBABD,,,,,,,ADACC
,,DDCDCAD,,,,,,,,DDBA,,,BCD,,DAABD,BB,,ABDDDDA
ABBC,DDC,,,DB,ACDBC,AAAB,,DBCDB,,CD,,BCDBBC,,,,,,ADA
,B,,,,AACCD,CDBDACBADBABA,BDCCD,,CBCC,,,,DBAB,,,,BABD,CDC
,,,,,,,,,,,,,,,DADBBC,,,CBBABDAAD
,CBB,,,DBB,,,,DCAAAAA,BA,BDBDA,DDC,DC,,,,D,,ABC
BDABCA,ACCABAB,,,,,,,ABCC,BA,CBD,,CAC,DACD,BCDDAAC,AAAA,,,DCBAA
,BBC,,,BDBC,,DABABCADC,A,,DBC,,,,,,BCDDA,AD,,BBDAC
CDBD,,,,,ACC,DBAADCA,,,,ACA,B,,CBCAB,CC,,,,CDBCDAC
ABBABA,,AAAB,C,,AADACB,,,,,CA,CB,,,,DCBBACAC,,,CCB
BBCDB,,,C,,ADCDCC,C,,,,,,,,,DBBAACCA,,D,ABCADBB
,DDCAD,,,ADBCDBD,D,,,,ABDBC,,,,,,CAACC,,DAABCB,BADBC
,,ADBA,,,ACDD,DC,DADB,AABC,ABABA,,,,CAAAD,,,,,A
BCA,,,,,BABCABB,,CBBDA,,,,DBADA,,DCBCDD,,,,,DAC
,,DB,BCCAAADD,,,,,,DDB,,,,AB,,,,,DACC
CDCCAAC,,,DA,BDACDBD,,,AAABA,,,,CBDCACB,,,,BA,,DA,CADBADAD
,,ACABD,,,D,,,,,,,,,,C,,,BBAAA
CCB,,ACACBC,,DAD,,,,BDBBDB,,,,ADAB,CAD,,,CA,ABB,ACBADCD
,DDB,CACBBDDB,,ACDC,,CB,CA,,BBD,,,,,BAB,CBBBA,,,ADADAD
DACAADB,,,BCDA,,,BBB,,ACACD,,DCDBADD,,,,,,CCA,AACBB,ABCA
,BBA,,C,,ADCD,,,,,CCC,CD,,CACDABCBCCBAC,,DDDCA,,,AAADDCCAA
CA,BBA,CBCBCBA,,CBAD,,CA,,CBDAD,,BAA,,,,ACAB,ABCBCB,ADCC,,DBCAC
,CACABA,,BDB,,,,,AAABACD,ADCCBAAD,,,DCDCBDD,DAA,D,,CDBBDDAAD,,DC
,,,DB,BBDDC,,,,,,AD,DAB,,,DCDCA,,,,BBBCADDA
