pos,pos_1,pos_2,pos_3,pos_4,pos_5,pos_6,pos_7,pos_8,neg,neg_1,neg_2,neg_3,neg_4,neg_5,neg_6,neg_7,neg_8,coding
ADACDA,,BDBDCBBCA,,,,ABAD,,AABABBB,,BBADDCBB,,,B,AADAC,,,DCCDACA,DBBAC
,,,,,ADCDAC,,DBDDA,CACABCCB,,BAB,,,CB,BCCC,,,AA,ABBB
BC,,,,,B,BA,D,,,,,BDCDAB,,DBCBBCABA,DACADAAC,,,AAD
,,DDACAC,BCCC,,,,,CACAD,DC,DAA,,,,BCD,,AACA,DCCDADA,CCDAAC
,DBDBC,,ADCA,,BC,DBDDAB,,,CAC,,,CACD,,BBAD,,BDCAB,ABB,C
,,DDCD,BCCCCC,,ACDCDBDBAB,CBDCAA,,,C,,B,,,,,,,BABABACA
C,,,C,,,,,B,,,ABACDBA,,,,,,,DD
,BDA,AD,,,,,,,ACAC,,,,,DA,BCA,,ACACBD,DBBCB
ACBA,,ABD,CBBDCDACA,,,,,,,DAD,ABCC,,DDBBBBCA,D,,,,BABCA
,,CCBABA,,,,DDB,,,CAD,,BACDB,,,BDDB,,DDC,,ABBC
,,,,,D,,,,,,B,B,CDABB,ACDC,,,,CCACDD
,ACAA,,,,BCD,,,,BDD,,,,,ABB,AADDCDC,,,ABAD
,,,AC,,BBA,ACCDACBB,BA,BDC,,,,CACAAAC,,,AB,CCDAAB,,DBBA
,,,,DA,,CCDDBDACD,,,,,ABDDBDB,,,,,,,DCBD
,,,BAABB,A,,,BBD,,,,,,,,DBA,BD,ADCACDBDD,ACBBD
,,CAABCDCADA,,,,,AA,AC,,,DAACACCC,,,AB,,,,BADAA
,,,BDAB,,A,CBDBDBBC,BA,ABCBB,,,,BADAADB,DD,,,,,ABABBB
,,BC,,,,,,CBCCDD,,,BA,BCCDC,,,CCDDAB,,,DABDDCBDB
DD,,ADBC,,,,BCDCA,CCBBA,,,,,,,,BC,,,DAABDDAD
,CCDCCA,CCCA,,,,BBBDB,,BCBCBAD,,AAD,CCCC,,,,,BCABC,,CABAD
CBCDC,,,,,,,,,ACBC,DABDCCB,,,,DADDCAAA,,,ADCBBCCD,BAACAD
,,BDA,,,CAACB,,DABD,,CDB,,CAABA,,CABA,CBDC,,,,BDCAC
,,ADABDBAA,,BB,,,CC,,,,,,CDCBAACC,DADCCBA,,,CCDA,DCDA
,,AAADD,CCD,,,D,AAAAD,,CAACC,,,,AADBD,,,DCC,BD,BADDBD
CCADB,,,CDCCD,,,,BDBC,C,,,,CA,CACBD,,,,,ADABBCB
AC,BADC,DBADD,,,CABDBA,,BC,DBBDDB,,,ABA,BAACBA,CCAD,,,,CABA,AAADADA
,,,,,BBCD,,,,,,,,CCB,DABCDB,,,,DCAB
,,,,AD,,CDBBDCBBA,,,,,,BC,BDADBD,,BD,,,CDBACDB
,,DD,,DC,,,,BAA,DBBAAB,,CDB,,,A,AC,,,AC
,AACAAD,,,,,,,DBACBB,,ACBAA,,BCBADBD,BDBCD,DBC,,,DA,CADDBBBD
,,C,DDBDDACA,,D,,CABDCB,DBB,,,DDC,,,,,DCCCBD,,DADCC
,,AABAC,DAAB,ACAAABBC,,,,DD,,BABABA,,,BBDDDC,,,DA,,DC
,,AB,,,,,,,,BDD,,BC,,ADB,,DCCBAB,,CBAB
D,,,,,BDBC,A,,,,BCA,DAB,,,ABACBCC,CABA,CADAC,DAAA,CACABB
AAA,,,,,,,,DD,B,BBCDDABCA,,,,,,ACDB,DADDC,BCCAD
CDCAA,,,BACD,,,,,,DCDDDD,CD,,C,,BDCAABDD,AAD,,,CB
A,,,AAAACABD,,DBAAA,CBCA,,CACBA,DACAACBBD,,DA,CDD,CCCDBAD,,,CDA,,B
,DBD,,CBA,DDBADA,,,,,ABA,,,BDBCA,,,,,,AA
,,,,,DDCAA,,,BA,,BAA,BADA,A,,,,,,CDD
ADDADABCCD,,BBC,CDCC,,,BAB,,,CADDDA,BCAD,ADAA,CCCD,,DABCDCC,BDABA,,BCBD,CABDBA
ACC,,,DCDBDD,CCDC,BADD,,DDCAA,,,CADBCB,,,,,,CAB,BBBDBABBB,CAADDBC
DACDA,,BBCDDBD,,BBA,,,,,,,,,,,,CBCBAA,,DACBCDDB
ADCDA,BBBC,BAA,BDA,,,,BCBB,ACCDCBADA,CDDADAC,,DCADB,,BDDCDB,DBBCBBC,,,,DCDADCBCB
,C,DDBAB,,,,D,,,,,ACD,BAAAD,DBABAC,,BCC,,,DBDD
,ACBBBCC,,BA,,DB,,,,,,,DDD,,,BABBDB,CDADBC,,CDADBC
,DBCD,,,ADB,,,,,,DCCADB,,DA,,,,,,BACACA
,BADBDCD,,,,,,ADABDCDC,DBDCCD,,DAD,,CBCDB,BCDBDCB,,CCABA,,,ABCDCAAA
DABBD,CAAADA,,C,CD,,,,,,,ACB,AC,,AAD,,,,DBADCDA
