pos,pos_1,pos_2,pos_3,pos_4,pos_5,pos_6,pos_7,pos_8,neg,neg_1,neg_2,neg_3,neg_4,neg_5,neg_6,neg_7,neg_8,coding
ABA,,,DCAD,,,CA,DA,BB,,,DCBCB,,,,,,,CCDADAA
CABDBBCBB,,AAADC,CADBACA,,,AC,,,BDCBDADCD,,BA,,CBCCDBC,AACACDC,BBA,,,CDAA
,,A,,CB,DDA,,AADBC,ABBABA,,ADAABC,,,,,CCCBBCBD,,CCD,DDBCC
DBADA,,,,CCBCDAADC,,,,AA,ABAB,,,D,CDABDDAB,,DACCBB,AD,,D
CB,,,,DADC,,,BD,BAA,BCAAB,,BAADAC,,,CCCB,,C,,CDACAAAA
,,,,AD,,,BDBDAD,CBAD,,,ADC,,,,DAAB,,,AABADBABDC
DCCD,,AABCCAB,,,BDB,,,,,,C,,,,CA,,ACCCAACA,CBDBBCB
ADACDDC,,,,,,CDAABBD,,,,A,CA,,,,B,DA,,CADDD
ABBCDAAD,,,,,,,,CBBCB,BACDDAB,C,,,,,ACCCBA,,,CBAA
,,,BBDD,ACA,,AABCA,,BCAA,,,,,DACBCB,,,,,CACAAB
,B,,ABABADBCA,,,,,CBADDC,,AACBAC,ACD,,,,CAAC,,ACDDDD,D
,,,,,,,,BB,BABACCDB,CCD,,,ABDAC,,,,,BABC
,,,,,,DBDABC,,,,AAACABCCB,,ADDCD,BABB,,,,BDDDAACBD,BCA
,DD,,DCBBC,B,CA,,,CCACC,,,BDACBCCAD,A,,DABDADDA,ABDCA,BBDAAACD,,CDAC
CBABBAA,,C,,CDDBD,DD,,,C,,,,,,,,CC,A,DDADCD
,,,C,,,,CCDDADC,,,,,BBAACBBACD,,,C,BBCCAA,,CADBDDD
,,,,ABDD,BBAD,,,,,AACBDDCD,,,,,,BCBAC,,DDAAACB
ABBBAB,DBCCBC,ADB,CA,A,,,,DCCAAC,,,,,,,,,,ADBAB
,ADBCA,,,,CDAC,,DBBACDC,ABA,AA,,,,B,,,DBCDA,,C
,BDCCCC,BACA,,,CD,CDBDD,ACDD,,,,,,CDAADCD,,ABCADCCB,,,CCAAC
DCDCB,,,BDDBABCA,DCDDD,,,,C,,,DA,,,,,,,ADBCDBDCD
,,C,BD,,,,AADCDA,,,,,,,,AADCA,CDAA,ABCC,C
B,AD,,,DC,,,,,,BCCBB,,,ADABADC,AACAC,D,,,CCDA
CBAACCD,DCCABA,,,,ABDD,,,,,,BCA,,,DCDA,,CDA,CDDBAC,CABCDA
CBADDC,,,BAD,ADDB,,CDCBBBCD,,BBDAC,,D,,,DDA,CD,,,DCADDB,ACAABBA
BDBC,,,DDB,,,,ABADBDA,,,,,A,,DCDB,,,DDBD,BD
C,,DCDABCD,,,,CACDCA,BBDB,,,,DCAD,DCDCADDAB,ACDCBB,B,,DAA,,BACADAC
,,,,DBBA,BDDCDBB,,,,,BBC,BB,BBCAA,,BC,,AA,,BCADBADAAAC
