pos,pos_1,pos_2,pos_3,pos_4,pos_5,pos_6,pos_7,pos_8,neg,neg_1,neg_2,neg_3,neg_4,neg_5,neg_6,neg_7,neg_8,coding
BC,,AACADC,DBABCCCA,,,,,CBB,,DCDDDACAC,,DCADA,BBCDDB,ABBADD,,DA,AAB,BBDC
,BB,CCBDCAC,,AA,,,,,,,,,,,,DDDADCCBA,,DABABC
,,,,BBCDACB,,BDB,DADCCBCDDA,,,,DAAABB,,,,,,BADA,CADACAA
,,,,,,,,,,,DA,,BC,DDCBBA,CBBA,CC,,ADCADC
ADD,D,,,,,CABBBCBB,ABBDDB,,,,,,,CCBDAC,DCCBB,,,BDBC
,,,AA,,,,C,CCBCADB,,,,BCDBCBCAA,CDDBAD,CBCACB,,,CCD,D
,,DCC,AC,,ABDACDDDA,BDDC,,DADADB,,,,BADB,,AADB,CBAADDC,DADCDB,,CCBDDACAABCA
CDADBBD,C,,AB,,BCABB,,,BDBAC,BA,DDCD,DDDD,,,,AAAB,BA,,CDBD
,BAADCCCC,,,,,,ACBDCAAC,,,DBAB,CBDBBDB,,,,DCBA,,,DDABB
BBCCA,,DADC,,BBBCD,,,ADD,,A,,,,,BBCAAAD,,AB,DBCC,D
,BCA,DBBD,DBDCCBA,,,,,BBBA,,CCD,CBBBCD,AADBAD,,DCD,,,AB,ACBDD
,,,,,,ADDCCD,,ABDA,,,,,BBAA,,,,DACCAB,BADCCCBB
,AC,,,DADBC,,DBD,CCBC,CAAAC,,A,,,,,,,,BBDD
,C,,CDAADD,CDDBBAACABC,,BAABAB,,,C,,CC,BBABBBDCB,,,,,CBBA,BD
DDABCCCB,BB,,,CBA,D,,C,,,,BB,,,,,CBC,,DC
ACCC,,,CBC,,DCBCC,ADCBD,D,,,,CBAAA,CCA,,,CDAAC,,,CAAAB
,DBDBCAC,CDBABCC,CABBD,BCCBB,,,,,,CCAC,,,,DAADBCC,,,,CBDBBADB
,DCC,BACD,,D,CA,,BBB,,ABCCABB,,AAC,,,,,,ABCDCB,D
DCACBBA,ABA,,BACCB,CBA,C,,BDDC,,,,CBCC,,,,,,,CDAAB
,BAD,DBDCD,,AAA,ACCDDD,ACDDBC,,,,AA,,,CBBCC,,,CCDBAB,ADDABDBA,DD
,,D,,,CDAC,ACAA,,,CCCB,,,,,BDBD,,,,DDAABA
,,,,,,BBA,,CDBAACACD,,,,,BDA,,DB,CAAADCC,,BCCBCCACDDCA
AC,BBDA,CB,AB,,,,,BDDBD,,,,,,,,,,DADCACC
,,,BBDBCAD,,DADABD,,CCCACC,,DDACCADB,,CAAAC,,,ADDCAB,,,,DDDADA
,,,BBCAA,,,,,BBCCDBA,,,DCDCACC,CDAACAD,,ABAAC,,,DDC,DBABADDDDC
AB,,ACDBBDBA,,,,,ACB,,,C,DBD,,,,DA,B,CBDCBA,CBBBBAAB
AA,AABBA,,DDB,,,,,ADCCBB,,BA,,DBDBA,,DCADD,,BCBAC,DBAAAD,AB
DBBAACC,CCDADD,CDCB,B,,AD,,,CADDACA,DCDDC,,,,D,,BA,ACA,B,ABBCA
,DCA,,,D,,,,C,DABDA,CAC,DDCA,,,,CBC,,,DDAA
,,AAAACB,,D,,,DDDC,,,ACDCCD,,,,,ADAB,,,CDCBDCC
,,,BBADBAAD,,DC,DBC,A,BACD,,,,BDDCCD,,,B,,,BBDAC
,BBA,,,,,DBB,,DAACA,,,,DC,DC,ADCCABD,,,BDABDABC,ADAD
,,CCDD,,ABADDB,,D,CBDBC,,,,,AD,,,,BD,,DCCCBC
AD,ADACA,,CA,,,,ADBDBA,DC,BBBBAAAA,,,B,DACDB,,DDB,,CCB,DBCDD
CAABDDB,,BAAC,BACB,,DCCAA,,CBC,CCCCBBDB,,,BAC,,,CD,BCDBCABDDC,,,CB
,,,,,,,,,CDCAAB,C,B,,,,,CACBCA,,AAABDA
ADBBDA,,CBBCAB,,DBBDDDD,,D,DDCBD,ADBAC,,CCAADAACDD,BA,,DCCB,ADCD,BB,,,DBAADC
CAADB,DADA,DDABA,,,,AAA,,,BDDBADA,,,,,DDB,,,,BBCAD
CCDCADB,AAAA,,,,ACBCBB,,,,ABDADAD,,D,DDACD,,BAB,,ABA,BBDA,CDCAAA
,,BBA,,,BBBA,,BCDCCCAA,,,,,,,,,B,,ABDCDCC
,,,AABADDC,BDCCCBCC,,DADD,,,,,C,,,,,,,CBADBBB
D,,CDBB,,BACB,DC,,ACACDBAA,,CCBA,BBADD,BCBAC,,,,CCBB,DBDCDB,,CACDAD
