pos,pos_1,pos_2,pos_3,pos_4,pos_5,pos_6,pos_7,pos_8,neg,neg_1,neg_2,neg_3,neg_4,neg_5,neg_6,neg_7,neg_8,coding
DBBDB,CDBAD,CCADB,DBDBB,ABAAB,DABBB,BCCDB,ABABC,BDBCC,AAADD,AACAA,ADCCA,DCBDD,DBCCA,DDDBB,BDDDB,CABAA,BBDDA,ABDCC
ADCAD,BABBA,BCDDB,ABDDD,ACCCA,DBCAA,ADAAB,BBADC,DBBAA,CCBBD,BBCBC,CBDAC,DDBAA,ADBAA,CCCAC,BBCBD,DAABC,BABAB,CBDBD
ABCCD,AABCD,ABDDC,CDDCC,ACBCB,CCACD,BCBBD,CACAB,DACCC,ACDCA,DDDAA,AAAAB,CABBB,AACCB,AAADD,AADCD,CCBAC,DACCD,BDCDC
DBBDD,CBDDC,CDABA,BACBA,CBCCD,DABCA,BBBAB,CACBD,ABCCB,CDABD,DBADC,ACBDC,CCDBC,BADDD,AABDA,BCAAB,BDACD,BDDAA,ADDAA
CBABC,DBABD,DABAC,CBBAC,AACCA,DACCC,BBADA,ABCBD,BABAA,DDABB,DBBDD,BBADB,BBADA,DACDC,DBBAA,CCBDD,CABCC,BCDCC,ADADA
CDDAB,BCADB,ACABB,BBAAA,CDACC,ACAAD,BBBDA,DABDC,DBCDB,BAAAD,BCCDB,ABADD,DDCBD,CCCAB,DDDBD,CDACA,BCCCB,BCCAD,CABDD
DCDAC,AAABC,CDDCC,ABBAD,DBDAB,BDBBC,ABABA,CABCD,DABBD,BBDBB,DBBDA,BBADB,ACBCD,BABAD,BADCA,DCDBC,CCAAC,DAACC,DDABC
BCACC,DBBCB,DABDD,CBCCC,ACABD,ABADB,BAADD,CDBCC,DCCAD,BBCBD,DACDD,BDDBA,ABCCC,ACDBA,CBBBB,BBABA,CACDA,BCAAB,DADDD
DDDBA,CBBDD,ABABB,BCBBA,CACDD,DCAAC,CDAAD,ABCCB,CACDC,ACCBD,BBADC,DCCDA,ABACC,BBADB,CDCAD,DDBBC,CAACD,DDDCC,DADBB
DBBCB,ADBAB,CCBAB,DADBD,ADDBA,AAACB,AACAC,BDBBB,DBABC,DDCCB,CDAAD,CCBBA,BBDBC,CBDAD,BBCCB,CADAB,DBBDC,BCCAB,DAABD
ACBBD,BAADD,DCACB,DBCAA,CBCAA,DBCAC,BDBAB,DDABC,BCABC,ABCDC,ACCBC,DCDDB,DCDAC,ACACD,ADCAA,DACAA,DABCC,CDBCB,ABDAC
CADCC,BDDDC,BACBC,BBBDC,CDBCC,ADABC,BACCC,DADCC,DADBA,BCBCA,ACDCB,ACDAC,CAABD,CABDB,DABDB,ABDBD,BDCAC,BBCCA,DDABB
BDDCA,CBBCB,DDDBD,DDDDB,DBBAB,DCCDB,ABDDD,CCCCC,BDCCB,DBABB,DBDDD,DBDDA,AADCB,DBDBD,DCCDA,BCBCA,ACDCD,CDAAB,CAAAC
BDDCB,ABCAA,CABCB,BCBDB,CBBAA,AADAC,BCCBA,DCDDA,CBBBA,BDBCD,CAABD,CCDAD,ABCAC,DADDB,CAABA,AACDD,CADDD,DCACA,ACBCB
CCABD,BCCCC,ABBAB,DDABB,BDBAC,BBCDB,CDDCC,AAABA,CDADC,ADCBC,CBACB,CCAAA,CBDDD,DDABC,BCACC,DABAD,ABCCB,ABDDC,CBDAC
BDBDB,ACBBA,DADDD,CBCDA,BBABC,DABAB,CAAAA,BDDCD,CADCD,DCAAB,ABBBC,ADCAA,DCCAA,CCDCB,BDDDD,CADDC,BCADD,DDDAB,ABBBC
DCDDD,BBABB,DBABD,AABAC,BBBCB,DACCA,AACDB,BABDA,DCDDC,CCCDB,AACBB,BAAAD,CCCAB,BDDDC,BACBD,ACDBA,ADDCB,CDDBA,CDBAB
BBCCC,BBBBD,BDABC,CBADC,BBBCA,DAAAD,DABBD,CADCD,BCBAC,DBADB,ADABD,ABBDA,ACADB,ACBAB,BBDBB,ABABA,DCAAC,ACCBA,BAADD
DDBCD,DBDBC,BCADB,AADCC,DCDCC,DAACD,ADDBD,ABCCB,BBDAD,BABDB,DDBBD,DBDBB,CCBDB,ACBCC,DDCCC,ACDAB,ABBCB,CCCDD,CBBBC
CBCBA,CACBD,DBCAD,ADBCB,CDBAD,CAADD,DDACC,DBCDB,CAADC,BCDCD,CAABD,CACAA,DCBBB,ACADA,CDACD,DBDAA,ADDCA,BCCAA,CDABC
CBCCA,BDCCC,DBCAA,AACAB,ABDDD,AADBA,ACCBD,BDCCC,BBACA,BBAAC,CBBAC,DACBD,AADCA,BDBCD,DABCB,CABCB,CDADA,DADAC,DADBB
ADBAA,CCCCB,AACBC,DACAA,CCBDC,ABBCA,CDAAA,DACAC,CABBC,CBDAC,CBACD,BACBA,DBABA,AADCA,DACAB,DDADD,CCBBB,DDDAC,DDDBB
DACDB,DCCAD,DCABD,CDCAC,CADAD,CBACD,BDBAA,DBABD,BADDD,DABAA,BCCAB,CDCDC,BDBBA,DDACB,CDADC,BDAAD,ADBCB,ACCAB,DCDBB
ABBAD,AABBB,BADBB,DACBC,CBCDB,DCBBB,CABCB,CDCCC,BDABA,ABBDA,CCBAB,ACAAD,CCDAD,CBBCC,CDCAC,DADCD,DCBCB,DDDAB,BDBDB
BCBCC,BADCB,BDDDB,ABABA,CBDDD,DACAC,CCDDA,ACBAA,CDDBB,DCBDC,BDCAD,ADBCA,ACCBC,AACAB,DADBD,ABACD,ABCCD,BBDCA,CDABA
ACAAC,CCCCD,CDADC,ADCDB,ABABD,DDDCD,BDAAD,BCAAA,DCBBC,ABBAC,CCABB,CADAA,ACADB,DDDCC,CCBBA,DBDDD,BDBCA,CDAAD,CBCDA
CCADB,DCABD,ACBCD,CAABD,AACBC,CACDC,BBBDB,CAADB,ADBAC,CCBCD,BBDDD,CDDCB,CCABD,CDABA,CDADA,ABBDB,DDCAD,DBCCD,BABCB
BDCAB,CAACB,ABAAB,ACBAD,CDCBA,ACCDC,AACCD,BBCBC,DDBDB,ADACB,ADCCB,ACDDB,DDBDB,CAABA,BBCAB,CAACB,DBBCA,BBCBA,ACDDB
CDCCB,DBCDD,AACCB,CDAAB,CBCAB,DABCA,BABCC,BCBAD,DBDBC,DCDCB,ABDDB,CADCC,DCBAC,DDADC,BABCA,BCADD,ACADA,CAADA,BADBB
BBDDC,ACDBC,CCABD,ADADC,BBADB,ACDBB,ADACB,CCABD,DBCAC,ABACA,CCADD,ADDDB,CBBDA,CDDBB,DBACB,BBBAB,AAACA,CABDB,BBBAC
CBCCB,AAABB,DDACD,CADBD,ADACA,BBDDD,CABAD,DABBA,CDCCC,CACAB,BADDC,CBDDB,CBBBA,BACDD,ABBCA,BDCDD,CBCCD,AACDB,ABCAA
AADBA,DCBAB,BCBCB,BBACC,CDBAB,ABABB,DDAAB,ADADC,BCACB,BDCAD,CAAAB,DACCA,DCCAB,CACBC,BCDDA,DBCBD,DCCDB,BCBCC,CDDBD
BBDCA,CCAAB,BBDBB,BDDAD,DCBDB,ABCAD,ABACB,CCDDC,CABBC,ADBBD,BACBA,BCDAD,DCCBC,BABCA,BCBAB,BCABD,CBBBD,CBACC,ABAAD
BDCBD,AAADD,ADADC,ACCCA,BCBAD,ABACD,CDDBD,ACBAD,CBCBB,DBACC,CBDAC,CCBBB,ABCDD,DCBDA,DDBDA,DACCD,CDCBB,DBAAA,DBDCC
DBDDC,CADBB,CACAC,CACDA,CBCDD,CADCD,ABABA,DBDBD,DCAAC,ABACB,ACBCD,DACAC,ADCCB,BBDAB,DDDAA,DABDB,CAADB,ACABA,ADDAA
DBDBC,BABDC,CACAB,DADCA,DCDBB,CBBCA,BDBCC,BCABC,DDBBD,DDCBD,AADBA,DAAAA,ACABC,CCCBC,BBDCA,BBADA,CCDCA,CBACC,CCCCA
DDDDB,DDDDD,DCDAD,BCADB,CBDCD,BAAAC,CBBBB,CDBCD,AAABD,CCCAB,CDDAC,CDBCA,DCBBB,CBBDB,CBABC,CDBBA,CBBCD,BBABC,DCDCB
CDCDC,AAADB,CBDBC,BDCBD,DABBC,AADBA,BACBC,AADCB,BBBBA,ADBDD,BAAAD,BCCDA,BBCDC,CADAA,DDBBB,CCBCB,CBAAB,CDCAD,BABBA
CCAAB,BCCDA,ABBCC,BCCDD,CADDB,BCBCD,AAABA,CADCC,BADDA,BCABD,ADAAB,DACCA,DDDAA,CDBDD,ABBDC,ABBDA,ABBCD,BBBDA,BCCCB
CAADD,ACADD,ABABA,CCDAA,DACBB,ABBDD,DADBD,BADAB,CCABC,ADCBD,ADCAC,BABAD,ACACB,DDCDB,ABDCA,ADBDA,ADDAA,DABBB,BDACB
BABDD,DAACA,ACDDB,DAACA,BCBCB,ADCBB,CBBBD,ADBBB,ADBCC,DBABB,BDCDB,CCAAA,CAACA,CADBB,CABDD,DAABA,BCDDB,CCAAA,AABCA
DBDAC,DDBAB,CABAA,BCCAA,AAABA,BCDDC,CCCDD,BDCCC,BAAAD,CCCDA,BDBDD,CACCA,ADDBB,DBBCC,BDDAA,ADDCB,BDBBC,CAABD,CDCAD
CAADC,AACBB,BCBDA,DBBCB,BBBDB,ACCAC,DCADC,ACBDD,CCACB,ADDCA,DACCC,BBBAD,DDCDD,ABDAD,ACDAD,CCBBA,CABDB,BCCAD,BDACC
BDCAA,ADDBA,DBDCB,DCBBC,DCBAB,DABBD,BDDDB,BDCCC,BAACD,CDCDB,DDABA,CDBAC,BBCBD,CBDCD,BCCDA,BDDCD,BAABC,ACDAA,BDADD
ABBCB,BACDC,CADCC,BADDC,CBADA,DDAAD,DDCAB,BACDA,CBDBD,DBABD,DDABC,ABDCC,CDAAA,DAADA,BBDCA,DDACD,DDABA,CCBDA,DAABB
CDDDC,DAADD,DCAAC,CCDDB,CACDD,DBADB,AABCD,AABAA,DBDBA,BACCA,ADBBA,CACBB,DDDCC,ACDDC,ACADA,ABAAB,DCBBB,DCDAA,BDDAD
BDAAC,CCBBA,DBBCD,CACAA,DDACD,ABCBA,AADDA,BBCDC,AABDA,ACBAD,DBCBA,CCCAA,BDCDD,BCDCC,CDABD,CDCDB,DCCBD,DAAAC,CCABB
CBBCB,BCCCA,ADDAC,BCCDB,ABDCD,BBAAB,ACDCC,ADACD,DBDAA,BADDA,BCCCC,BDDAC,DCACB,ACBAD,ADBAA,DACDB,BBDBA,CAAAB,ACDBC
DDCAD,CCCDA,CDCAD,CBADD,BCACD,ABDAC,BCCCC,CDCAB,DABCD,BACCA,BCAAA,BBABC,BBBDB,DCDAA,BCCBB,ACDBB,CDBAD,AABAD,CABCA
AACDD,ACACB,BBBDB,CACDD,BACBC,CBBCC,CBDDB,CBCBB,CBBCD,DCABA,DBDCD,BBAAB,BACBB,CADDD,CDDDA,ABADD,DADCB,ACCBA,BCACB
AADCB,CDBCB,BBCCC,DACAA,CDDAC,CAADC,DBAAC,DBBAA,BDADD,CCAAC,CADDA,ADDDA,ABDCA,BDDCB,BADAC,CBDBC,ACADA,BCAAA,BADBC
DACBA,ABAAD,CDAAA,CBCAC,ABDCA,CCCCB,CDDDA,DCADD,CAABA,BABDD,BCADC,BDABB,BDCCA,BDCBD,ABDCA,ADCDC,DDDBA,CBBAC,DCBDA
ADDDC,CCCBA,CCDDA,DBCBB,ABCAB,AACAA,DDCCD,DBCBB,BBABB,ABAAC,DDABA,ACACC,ABDCC,BBCCC,CACCC,ABBAC,DACAD,CCCBA,ABABD
BABDA,BAABB,BAAAB,BDDCB,CACCA,ABAAB,CDBCC,DBCDA,DCBDC,BABDD,BBDDA,CDDDD,DDDAC,CDDBA,CBBCA,ACBCD,CDBBD,DCAAA,BCADB
BCCAC,BABBB,CADCB,BDBCA,BACBD,DAADA,CDBAD,CCCAB,AABAD,AAACB,DDDAC,DACAB,BBABA,BDDCD,BAABD,CDCBC,CADAD,CABAC,DAAAD
DCABC,DBDBD,CABAA,DBDBA,DCCDC,ABDCD,BCACD,BCBAB,CACDC,BCBBC,BDABB,DBDDC,DDBDB,DABCC,AADAC,BAABA,CABAA,AAABA,BBBCA
DDADA,DBCDC,AABAD,BDBBD,CCDAD,BACCB,ACBBA,CCBDB,BAABC,CDBDB,BDCCD,CACDB,DCDDA,DCACB,AADDB,BADAC,CCBAD,CCDBA,BDBCC
DDDBD,CDDCD,ADCDD,BBADC,BDCDD,BAADC,ABDBD,DCAAC,CCDDB,CCBCD,BDBDB,AAABA,DDCBD,BDACC,CADDB,ABCAB,ACCCA,CACDA,BADAB
ACCCB,BACDD,BDCDD,ADAAB,DDDDA,DABCD,AAADB,DDCCC,BDBDC,BACBB,BBCDB,DDABB,ACBCB,BCBBA,DCADC,DDDDC,AADBD,DACDB,BCBDB
DAABA,CCCCB,CACDD,DBABB,CBACC,ADDCC,CDDAC,DABBB,DDBDB,CDBDC,AAAAC,DCBCB,DCBCC,CBCDC,DDBDA,DDDBD,DCAAD,BABDC,BBADC
BDDBC,BCBBD,DCACA,BDBAA,CAADD,DBACD,ADCCD,DADDB,BCADC,ADBCC,DCBCC,CBBCC,DBCAA,DDCAA,CDDBA,CDBBB,DDCBB,ACBCA,ACCDC
BABDD,DDDCD,CDBCA,DDDCC,ADBBB,CADCB,CBBCC,ADBAA,ABACC,DABDA,CAAAD,CBBBB,BBCDC,ADBCD,CCAAC,BBCBA,DCCCA,CACCD,BDDBA
ACBCA,BABBB,CDABA,AADDA,AACAB,DCAAB,BCACC,DDABA,CDBBD,ADDAB,BBADA,ADABA,DCDDD,DDDAB,ADDAB,DDDCA,CBDCC,DBAAC,CCDDC
CBCCB,BCDCA,BDDDA,CDCCC,ACADC,ACBDB,CABBC,BADAA,ADCCC,ACBBA,CBBBD,DDBAA,CDACD,DBDDC,BBCBB,ADDBB,AACCD,DABDD,DCBDA
DABAD,CDDBD,BACAA,CADCC,DDCCD,DBABB,CBBAA,CCABB,BCADD,BACCC,DCDBB,BCABD,DDDCC,ABBCB,BDBAD,BCBAB,CBBCC,ACCDD,DDDCA
AAABC,CCCBA,ABADC,DCCBB,CCDBD,CBCAD,AAADA,BDBDD,DABBC,ACAAC,CCDBA,ABDCB,BABDD,BCBBB,DDBAB,DCACD,BBBCB,DABAA,DCDDD
CCCDD,CBAAB,BBBDD,DDCBD,BDCDB,BBACA,BCCCA,CBDDD,ABBAB,ACADA,CADDC,AADAC,AAAAB,BDCCA,DBDDD,CBADC,DDCCC,CABDD,CBBBB
ADCCD,DDBAC,ABAAD,BBABB,BABDC,CBCBB,CACCA,ADCDA,DBCAD,DDBCC,DBBBB,DDACC,BDCDA,BBCCB,ABAAC,BBCBA,DAABC,DDAAB,ABACD
DBABC,BCBCD,ACAAA,DBCAA,BCCBA,BAACC,DDCAC,AABBD,CADAA,CCBAC,DDAAD,ACCAD,ADACB,CDCBA,CBBBC,CCABD,DACAD,BDDAD,CCBBC
ADDAD,BBDCD,CAACD,DDACC,CDACA,CADDA,BCCBC,DACDC,DBCBB,ADDCB,BABDD,BCADA,BBABD,AAAAC,CABDA,CBBDD,CBDBB,CBDCC,DCCAD
DDAAC,ACADC,CBBDD,BACCD,DDBAD,ABCCC,BDCBC,CADCD,DCBBB,AADCD,ACCAB,AADCC,BBDBB,ADCBC,ADDBD,BADBB,ACDAB,AADBD,BCDCD
ABCAA,CBDAC,CACCB,BDBAB,DBDCB,BBADC,CAAAB,DCCCA,CACBB,CBBBC,CCACB,CACDC,DAADB,DCBCA,CDCBB,CCBBB,CCCDA,AAACD,ABBCC
BDBAA,DCCAA,ABBCC,BDABC,ADCAC,ADADD,BAADC,ABCDC,CADBC,BDCDB,CDDDD,CCACC,BDCDD,CDDAD,ABCDD,DDAAA,BCAAB,DACCA,BDABB
BBCCA,BCAAA,DCCCA,ACCBD,AABDC,DACBA,BCBAD,DDBBC,ADBAA,CCBAB,BDBBD,DBCCD,CCACA,ABDDD,BDAAC,CAABB,CDAAA,DCABC,CBDCB
BDCDD,ABACC,BDAAA,CDDBB,ACDBA,CCBBA,BCCBD,BACAC,DADDA,BCBAC,CDADD,BBCBB,AACCA,CCACC,DADDC,CCDAD,CAABA,ACBAC,AABBA
BDACD,BDBBD,AABAB,DDDBC,CDBDA,ABCDD,DDBCA,DACDD,CABDC,BCBAB,BBADB,BACBD,CAACD,BACCA,DACCA,ACCAA,CDDDB,CBCCC,BBCDA
DCBAB,DCDCB,DDBCD,DAABA,ACDDC,CDBBC,CDBCD,DABCA,BABBD,DACBB,BACCC,DDAAD,BAADC,DBBBB,BDDDD,DABAB,CCABC,CABCA,CCCAA
BDAAC,CBCCC,BDACC,CCBAD,BAAAB,BDADA,DCAAA,DACCB,DDCDB,BABAC,DBACB,CDDDD,AACDA,BADCA,ABDBB,DAADD,BCBBC,CCDAC,ABADA
DDBBC,ABDBB,DBDAC,DCCBB,DCDDD,CDAAC,CBCAD,BDBDB,ADAAB,DCAAA,AADDC,ACAAA,DACBA,CBBAB,ACCBA,ABCAA,CBACD,DDBDB,CCDAC
DBCAB,BCAAD,BCCAC,BBCAB,ABAAB,AABAC,ACCAC,BABDB,BABAC,CBADA,CCCCA,CDCAA,ABDBC,BABDB,BAADC,CCDCD,DBCDC,ADBBC,BBCAA
ABBDD,CAAAC,BCADB,BCDAC,DDCAA,ADACC,CCCBD,DBACC,ACBCD,AADCA,CABBB,CACBD,ADAAC,ABCCB,CBABA,DBCCD,BCBCA,CDDCC,BBADC
DDABA,BDABB,ABBCD,BDDDA,ABCDC,DBDDD,DABAC,CADCA,CBACD,BCBCD,BDBCD,DABCB,CBBCC,ACDDC,BCCDC,DDAAB,DCABC,ABBCC,CADAD
CBBDB,BDDDC,DCDCA,ACBBB,BBCAD,CBABD,DCAAD,CCBBB,BCDBB,DADBA,BDDCA,DACDC,BACDC,BAAAA,DBADA,ADCCD,AAADC,BABAA,CDBBA
ADDBA,DDDDD,BABAC,DACCC,CCCCA,DCDAC,CDDDB,CDBBC,BADDA,ACDAD,CDCDD,AADDD,BCDCC,BBCAA,CBBCC,AADAC,BBDAC,DDBDB,CBABB
DCACA,ADACA,BBCAA,ADCAB,CCDBA,DCDBC,CCABA,CCCAA,ADCAA,BBBDA,BDBBB,ABACD,AABBC,ABAAD,CCCCD,ABADA,DCACC,ABCAB,BCDBB
AACAC,ACBDC,AABBB,BADBC,ABCAB,DDBBD,BCDCD,DBBCB,DBDBB,CBBCC,CBBAC,ABAAA,BAACA,BADDC,AABAA,BBBDC,BADAA,BABAB,BBCAB
ACAAD,CBCBB,BCCAC,CCCBC,ABBDA,CACCC,CBBBD,DDDCD,BBDCB,AAAAA,AABCC,DCABD,BDACB,ABACA,DCDCD,CCCAD,ACDBB,BCCDC,BCACC
BDABD,DCABA,DDADA,DBCBB,ABDCC,AABCD,CCBCD,ACBDB,ACCDC,DBAAC,BDCDC,DABBA,BABAD,AAACB,ACCBD,BABDA,ACACD,AABDC,CDDDD
DBBBA,DABCC,BDDDD,CCAAC,BDDDB,CBDBD,DDDBB,ACDCD,BDBDC,DAACB,DBADC,CCABC,BBBCA,CCBCB,DAACA,ABBBC,DDBCA,CBACA,CDADB
CBCCD,BADAC,BADBD,CADAB,CDBDC,AAADD,BADAB,DCBAA,CCCDA,CCAAD,DDBBC,CDAAA,DCDAD,BCCBA,CABBD,ACBDC,BACDC,DACCD,ADAAA
DCCDD,CCDCB,BBDBC,BCCDB,BBADD,CDACD,DDCBA,DDCDC,ADDDA,ACDCD,DBDDA,DDDBD,ADBAC,CDADB,DDBAB,BCDDD,BBCCD,CABBC,BCCDC
ABCCB,AADDD,DBACC,BBCBA,ABABA,CCBBD,ADDDB,CCBAC,ADAAA,DDDBD,CDBAC,ADCDB,DBCBA,BBDCD,DAADD,DDBAC,DDAAD,DDBBA,BACBB
BDCAA,CCABB,AABDD,DACDD,CDCCC,DBBAA,BACAB,CABDA,ABDBA,DDBDA,DABDA,BAABA,CDDBD,ABCDB,CDDAA,CDDDB,DCDAB,DABAB,BDDDC
DADDD,CDDBA,DDCCC,BACDB,BCCBD,CBCBB,DCCAB,ABCDD,BBBDD,BBAAA,BAADB,BDBDA,DBDCD,BCBBB,BCABD,AABAB,BBBCA,DACCB,DCBBD
CCACD,CDBCC,DDBBD,AAADC,ABAAD,CDCCB,CABDA,CCBDB,BAADA,BDCAB,ABDBD,CACCD,AADAD,CBCBA,DACBC,ACCCB,CCBCC,ABABA,BAABC
DABCD,ACDBC,DACCB,CACAA,DDBCA,BDCDC,CDDBC,ACAAB,AAAAB,BCBAD,CCDCC,CABCA,DDBCC,BBCDA,CBCDC,BADAC,CBAAC,CCCDB,BDAAB
ADBCB,BDDBB,DABAA,CDDCD,ABADB,DCDCC,BDCBC,DABDB,BABBA,ACBAB,DADBA,BADAD,CCDDA,DDACC,CCACC,BCABA,AACDC,DABDC,DDABB
ABCDD,ACDDD,BBDDA,CADCA,ACBDB,CDDCD,CACCA,BADDB,DAABD,AABDB,CACAD,CDACD,CCBDB,DCBBC,DCAAA,CAACC,AACCD,DDABC,BBCAC
BBAAC,CDBBB,CCAAB,DDAAC,BCCAD,DDBBD,BAADD,CDCDC,BADAB,DBDAC,BDBBB,ABBAD,BDCDB,DBBDA,AAACA,DCDDC,ADAAB,BDCAB,BDBAC
ACACC,ACADA,AADDA,BADBD,CCDAB,CBDBC,CBCBC,AABBC,CCBDB,AABDA,BAAAC,DCABA,DBBBD,BCCAA,BDCBC,CCDCD,ACAAC,CDDDC,BAABC
