pos,pos_1,pos_2,pos_3,pos_4,pos_5,pos_6,pos_7,pos_8,neg,neg_1,neg_2,neg_3,neg_4,neg_5,neg_6,neg_7,neg_8,coding
,,,AA,,BCDBAAD,BABBDDBB,,DBABACDD,,,,ABDABB,DDCCCB,,DDCAD,,BABBAB,DDBBB
ACDBDACA,ADBD,,,,,,,ADDBCBCD,DADCCBB,,,,,BA,,BBBC,,AC
,,CBCBBB,,,,,AAA,CDCBDB,,D,BDC,BB,A,DBDBBDBDC,,,BB,CDCABB
AD,,CBB,,,CCCDD,A,,,B,AD,,,BCD,DCDDBD,BD,DACC,,DDDDC
,,,CCADB,,,,BBCDAAB,ACDBC,,,,CADBDC,DBAD,CADACDACCBC,DBB,BBA,,CAADB
,,ACADA,,DDABC,,,,,C,,CCBAAC,,B,,,CBD,BBC,ABBABBBDB
,ABBBBCDA,,,,,,BCACBA,,,,ACCDA,,BADCA,,,,,ADCAD
B,,B,,BB,,,,,,,,A,BBCBBBC,,,,,CDA
,,,DACD,AAADBD,,B,BCADD,,,BBCADDC,ABBBB,,,,,CCC,BDA,CBCC
,,,,,,,,ACCBDADACB,,,DCDBBDA,,CA,BBAA,,DDACC,,DADAC
BBB,DABAC,A,,CABBBDCB,DBCCCAC,ACBDBCDD,,,,BDCDBCAC,BBBDA,,,,,,CBCDAB,BBCACBAD
DDCCAAACB,,,,,,CCBBB,BBBC,,CBBCA,CCA,,,,,,,,CBBDCBA
,,BACDC,,,ABC,AADA,,ACCBAA,,,D,DDC,CA,,,,AADB,BBCABCD
,,,,B,,DCB,CD,,ADD,,,,,BBAAA,,,BB,DC
,A,,A,DCBAAB,,,BDCCDDB,,DCCDDA,A,,ACAC,,,,,,BADC
,,,CDDD,,,AD,,,DACBDA,,,,DAD,,,,,BAAABD
BAABCD,,,,,,BDBD,ABCDBC,,AAC,A,,,C,,,,,DACAADABCD
,,AAAAA,,,,ADBBDD,,DBC,,,,,DBDCAACD,,,CAB,DDDB,CABDBD
,,,,,DCBCA,,,,,,,,CACBABA,ACBCC,DCBB,,,CDBCBBDCD
,AADB,,BCC,,,,,,,,,,,CADDAC,CDADBADB,,,ACBDC
,,,CBCBC,,,DBDBDABD,DC,,C,BBDABBC,DCBDBAB,,,,DDBAD,CCBD,,AD
ADC,,DAABD,AC,,,,BBABCD,,DCDC,,A,DCBDDCA,,ACDA,,AADAB,,D
,,,DCCDDA,ABCDBBC,DCADAB,CDB,,BDBDDA,BCD,,,,,,,,,ADCC
DAD,,,,CA,CAA,AC,DDDABCBA,,,,,,,,,,,DCDAAB
,ADDBDDBB,ADB,,CAADCACCA,CB,,B,,,A,,,CAB,,,,ADAA,DACC
,,AC,,,,,BCCC,B,,,AAAC,CB,,,,,,BCDCD
ABAB,BBADBBCDABA,DBC,C,,ACCCBDA,C,C,,DCCAD,,,,B,ABAC,DCCDC,,,ABBCCC
,,AA,CDDD,,,,,,,,,CACACCADBB,,BAABADAB,,,,CD
,,,,BBACCDCC,,BBA,,,ACDADBDD,AACAAB,,,,,CADDDBA,BAADDBD,A,A
,ADBDDBB,BABCAADB,,,,,,C,,ABBAB,,,,CC,,C,,CBB
