pos,pos_1,pos_2,pos_3,pos_4,pos_5,pos_6,pos_7,pos_8,neg,neg_1,neg_2,neg_3,neg_4,neg_5,neg_6,neg_7,neg_8,coding
DD,CAD,ACBBA,,,,,,DDDACAD,,,,,BCB,AABBCAAB,,CDBAAABD,,BCBCD
,DAD,,,,,,,,,BDBAC,,,ACC,BCD,DACBD,CCCACD,,BADAABD
A,,,,,AB,,B,,BAAD,BACABB,,DADAB,,,DBADAAA,AACC,CBBCCBBD,BDD
,,,BCDB,,,,ADDA,,,B,,,,,,ACBAD,AAAA,CBDAD
DBACDD,,,DBDA,,C,,,BADDDA,,,,,,BADB,,DCC,D,BDC
AACAA,,DCD,,,ACDBCBCAC,,,,,,CD,,DBB,,,,AABAAC,BBBAB
A,,,AA,,,ABB,,,,,AA,,,,,,,BC
,,DDDA,CBAD,CBCBA,,,AB,,B,DBB,,,,,BBAC,,DBBCA,BDB
,,,,,,,,DCAACCBDD,,BAD,DABCC,,DBDCCDABDC,DDA,,,,DCAD
DBC,,CBCACA,,,,,,,D,,,,,,D,,BB,ACB
DACD,,,C,,CBB,ACAD,AADCCCAD,,CDDADA,,,,,AD,A,ACABABADC,,BCAADCCDD
,,,,,DBB,,,,,BBBB,,DB,,AAADBABA,ABBABD,,,A
,,,,,AC,CCDCACCDB,,CBCCB,,,,A,,,,DCCB,,B
DDCBC,,DADBABD,,,,,,,,BDBD,,,,,,,,CBBCCAB
,,,CB,B,,,BBDCACC,C,,BADBCBA,,,,,,C,,CCD
,,CCAADA,,,,,B,BBAA,,BCBD,DABDC,,CCABDCAB,D,,,,DAA
,,,,,,,,D,,,,AACDCB,,,DABDADCB,,,BDACBACCBB
,,D,ACCBDCD,,,BD,,DDCDCD,,CCBAC,ADC,BAB,,,DAC,,,CACCD
,,ABCA,B,,,BCDCDCA,,,,,DBCCA,,,,BCDBADB,AD,,BDBBAD
,CCCACC,ABD,,,,,,,AACAC,A,BD,,DCB,,,DCCB,,BDCBCCDA
BCA,ACB,,,,,,,,,,,,,,,,DBCBABDD,BBACADDC
,,,,CAC,,,AB,,,,CCCDAAAA,,,ACDC,,,,BDCACA
DADAB,,,,DCDD,,,,,,,,,CCADDDCC,DDABA,DC,,,CCB
,,A,AD,DBA,,,,DCB,,,,,,,,BCC,DDBCBA,ADAD
,,,ACCCDD,,,,,,ABBCA,,AABD,,,,BABB,,,BCBB
BD,DDDBDDB,,ACAD,,BBA,,BCC,DBADB,,,BCD,AC,,CBCCBACB,,BA,,CADAC
,,DBA,,,,,,BAADCBCBC,,,,DCBDDCAD,,,,,BDDADDD,BCCDABB
CDBB,,,,AB,,CBCB,,,,,,BBDDCA,,,,,,BACCD
,,DDDD,CACCDA,,,,,BBBBCAB,BDBACD,,,,DBBD,ACBD,BAB,ACACA,,ABC
BDBDD,AD,,,,,,,ACB,,AC,,BCDADB,CDB,,DDBDA,,,ADDCDBC
C,AADBC,CA,,,DD,,ACB,DCDDBCDABBA,,,,,,,AAB,DCCCCBCCD,,DACCD
,AB,AAAABCD,,ACC,,,,,,BDBBA,ABDC,BDCBACDB,CBDDDCDCBC,,,CCDB,AACCDA,AC
,,,DABBAA,,,A,,,AD,ABAA,CABCDCDD,BDAD,BAA,ADDBBC,,DCBA,,DCCDBB
AB,,,,BBCA,ADDDCB,BACC,,,,CC,DBBB,B,,,AAAA,CBC,,CDCC
DDCD,DDDBB,,DA,,,,,,,,,BA,ADA,,CBBDDCD,DDBAC,,BBAC
ACDACDAAD,ACACC,,AD,,DADBD,,,,DBCDCD,ACA,,CDCA,,,A,,,BCA
CB,,,,,DBAAAC,AACBAC,,BA,DACAABCA,AA,DB,,,CC,,DBCA,,BADA
,BDBACD,DABAC,CCC,,,,,,,,,,CCCB,,,,BBB,AA
,,ACCC,DCBCC,,CDDDDBA,,ABBAB,C,DC,B,,CACC,,ADCBAD,,DACDDC,,ACACD
,,BBCBC,C,,,ACBACD,,,,,,CA,ABACBD,,,AADCCADDB,B,DABCABAB
D,,,,,,,DDBBBBBAA,DDCCCBC,CDDADB,,,,,,,,,CBACBCA
,,,,,,,,,,CCBBCBA,,CACCABABC,BCDBBA,,DABADCDDCAC,,,DCBCCB
,ADCCB,CBCD,,,,,A,,CDAAADAA,BCBAD,,,BDCA,BDC,,,B,DACADABAD
,,,,AB,,,D,,,,,DABCA,,,,,,ABABADD
,CBBDC,BCA,,,CDCA,,,,,,,BC,,,CCC,,,BDBB
,DBCCB,D,,AAC,ABAA,DD,CB,,,DDADDCBBDBB,,DBDCB,,,,ADACCA,,DC
,AAA,,,,,,BACBDBDC,DDDBD,,BDDDAAB,,BACDDAC,BDDCDCBC,,,,CAA,ABCCCDACAA
,ADBDDA,,,CCACA,,,,,,CB,AAA,,,C,BAB,,,BADD
,,,BAABD,,,CA,ACDABA,,,AD,,,,,,DDA,,BBBCDBC
,,,,,,ABD,AAC,,,,A,,,CCADBA,,,CBCBDC,AAB
BACA,CC,,DDCAD,,ACDAACD,,,,CB,,B,,,DACBBA,DDAC,,,CDCCB
,,,B,DDDAB,,,,,CDDCAA,,,BAACCAC,,BCB,,DBB,ACBBC,BBBD
,,,,,,,,,,CC,,,,,,,,BAA
,DCC,D,BCC,,,ADDD,,,,ADC,,DCADD,BAAADC,ACCCC,,,DCDCC,AAABAB
A,,,DBDADBA,,BCA,,CDCBAAAABB,,AACA,BBCACA,DCC,,C,,DA,,,DACDDBBDC
,,ABBB,,,,,,,CAAA,ABDDBCD,,AA,,ACCBCC,CD,,,BBDDA
,,,BAABC,,CBBBC,,CBA,CB,BBADD,,CABBC,,,D,,AACBCCA,,ABBBA
,,CBBD,BC,CAADBBBB,D,,CCADAB,DDAA,,,DDCB,DBDBD,CBDB,,,,D,DCBCBAD
BDCACDC,,,AA,D,A,,DACAD,,,,,CBA,ADADABDB,,CCBAB,,,A
ACC,,,,,BCDBDA,BABCA,,,,,,,BBBA,ACCA,ACBC,,,BAB
,,ABACB,DAABBC,,,,,,AB,CBA,,BCDCCABD,,,,,CAADA,CBBA
ACABABAC,,,C,CDADD,,,A,,,,A,DBDBCAB,,,,,AADAA,CCDBDB
,,,CBAAABD,CBBBAA,BDD,,,,,CA,,,,,ACBBCAC,,,DDBBCDAD
C,,,BB,ACACA,AAC,CADCAC,,,,,,DAA,,B,DB,,CCAB,AB
BCACBB,,,,ACBAACC,,,CC,,DBACA,,,,CDBBC,,,,DDCCDCCDBBBD,ACD
,CBCDC,,AB,CDADDBB,,CDABBAB,,,,,B,DBBCD,BBAD,BDB,,DBC,DBD,CB
,,BD,,BBBA,,,,,,,,,DBAA,AC,,DDBCCCD,,AACAA
